idstd,id,a4a,a6a,a2,a1c,a0,a3a,a6c,a7,panel,a1a,a14d,a14m,a14y,a14h,a14min,a20y,a20m,a20d,a1,a12,a7a,a7b,a11,a7c,a9,b1,b1x,b3a,b2a,b2b,b2c,b2d,b4,b4a,b5,b6,b6b,b7,b7a,b8,b8x,c3,c4,c5,c31,c6,c7,c8a,c8b,c9a,c9b,c10,c11,c43,c44,c12,c13,c14,c33,c45,c152,c162,c172,c22b,c36,c37,c39,c42,d1a1a,d1a3,d2,d2x,n3,n3x,f1,d3a,d3b,d3c,d31x,d42,d43a,d43b,d4a,d4b,d342,d352,d8,d12a,d12b,d13,d38x,d44,d45a,d45b,d14a,d14b,d412,o1,o2,o3a2,o3b2,j31,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,e1,e2b,e312,e32,e33,e6,e11,h1,h2,h32x,h5,h62x,h8,h9,d1a6a,d1a6b,d1a6c,d1a6cx,g5a,g5b,g5bx,g2,g3,g4,g34,ge3,ge3a,ge7,ge8d,k3a,k3i,k3j,k3bc,k3e,k3f,k3dgh,k4,n5a,n5b,k5a,k5a1,k5i,k5i1,k5j,k5j1,k5bc,k5bc1,k5e,k5e1,k5f,k5f1,k5dgh,k5dgh1,k6,k82b,k82a,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k15d,k162a,k162b,k17,k20a1,k32,k21,k33,k342,k342x,k35,k36,k38,k392,k392x,k40,j2,j3,j4,j5,j32,j33,j35,j36,j37,j38,j39,j40,j6a,j41,j42,j43,j7a,j7b,j10,j11,j12,j13,j14,j15,k30,g30a,j30c,j30f,h30,i30,d30b,c30a,l30b,l30a,j30e,e30,j30b,j30a,d30a,k30_finance_pos,g30_land_pos,j30_permit_pos,j30_corruption_pos,j30_courts_pos,j30_crime_pos,d30_trade_pos,c30_electricity_pos,l30_workforce_pos,l30_labor_pos,j30_instability_pos,e30_informal_pos,j30_taxadmin_pos,j30_taxrate_pos,d30_transport_pos,m1a,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,l1,l2,l9b,l9b1,l3a,l3b,l5a,l5b,l5,l4a1,l4a2,l4b,l10,l11a1,l11a,l11b1,l11b,l12a1,l12a,l34,l35,l36,l1a,l6,l6a,l8,l37,l38a,l38b,l40,l41,l30d,l30c,c32,c32b,c34,c34b,c34bx,c34c,n2a,n2a2,n2e,n2i,n7a,n11,a15d,a15m,a15y,a15h,a15min,a16,a17,a18,a19h,a19m,a13,a1d,a3b,a3c,a3,d1a2_v4,stratificationregioncode,stratificationsizecode,stratificationsectorcode,stratificationpanelcode,wstrict,wmedian,wweak,strata,d3c_raw,exporter
1597844,1,Food,Medium,Rift Valley,Firm,Manufacturing,Rift Valley,18,No,Panel,English,10,6,2025,14,34,2024,12,31,94,Interviewer4,,,,,,Partnership,,0,Fully domestically owned (private),0,0,0,No,,1992,6,1992,20.0,No,No,,No,,,,Yes,6.0,3.0,0.0,,40000.0,No,,Yes,1.0,No,,,, It is not suitable for any operational needs,Yes,21.0,12.0,0,0,,0,There is only one available internet provider,Manufacturing of ,100,1440000.0,One million four hundred and forty thousand,1000000.0,ONE million,80.0,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Strongly agree,Tend to agree,Strongly agree,,,,,,,,,,,,Local or in some parts of the country,0.0,The market is dominated by a few firms,Stayed the same,Yes,0.0,No,0.0,,,No,,Yes,35000.0,,,,,,,,Yes,30.0,No,Tend to agree,Yes,150000.0,No,No,30,70,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,Did not think it would be approved,,,Yes,50,"Other (including e-money, e-wallet, and mobile money",Mobile Money,Payment received in less than a day,0.0,70,"Other (including e-money, e-wallet, and mobile money",Mobile Money,5.0,27,No,,,,,One hour or less,No,No,No,,Not eligible,Yes,Very much difficult,No,,No payments or gifts are paid,,No,,,Yes,2.0,Yes,3,Moderate obstacle,Very severe obstacle,Major obstacle,Minor obstacle,Very severe obstacle,Major obstacle,Very severe obstacle,Moderate obstacle,Minor obstacle,No obstacle,No obstacle,Very severe obstacle,Very severe obstacle,Major obstacle,1,3,6,10,2,8,11,9,12,14,13,7,15,5,4,Access to finance,1,3,6,10,2,8,11,9,12,14,13,7,15,5,4,18,15,100.0,,10.0,8.0,1.0,0.0,,10,0,0,1,10.0,,No employees trained,,1.0,,No,,,10,8,6.0,6.0,No,,,Yes,Yes,Minor obstacle,Minor obstacle,120,2400.0,36000,Liters,,12000,540000.0,0.0,100000.0,,200000.0,Don't know (spontaneous),10,6,2025,15,45,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1,Face to face only,No,No,Over 250.000 to 1 million,1010,Rift Valley,Medium (20-99),Food,Panel,2.1933315,1.514991,3.2520084,198,0,0.0
1597845,4,Food,Small,Rift Valley,Firm,Manufacturing,Rift Valley,5,No,Panel,English,5,8,2025,12,19,2024,12,31,94,Interviewer4,,,,,,Sole proprietorship,,1,Fully domestically owned (private),0,0,0,Yes,100.0,2005,5,2006,20.0,Yes,No,,Yes,Still in process,Yes,350000.0,No,,,,,,No,,No,,No,,,,It is suitable for all operational needs,No,,,0,0,,0,With no difficulty at all,Manufacturing of ,100,900000.0,Nine hundred thousand,600000.0,Six hundred thousand,90.0,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Strongly agree,Tend to disagree,Tend to agree,,,,,,,,,,,,Local or in some parts of the country,4.0,The market is dominated by a few firms,Increased,No,0.0,No,0.0,,,No,,No,,,,,,,,,No,,,Tend to agree,No,,No,No,30,70,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,No,50,"Other (including e-money, e-wallet, and mobile money",Mobile money,Payment received in less than a day,Above 0 but below 0.5%,30,"Other (including e-money, e-wallet, and mobile money",mobile money,Above 0 but below 0.5%,3,Yes,3.0,Yes,No,,72,"Yes, partially","Yes, partially",No,,Not eligible,No,,No,,,10000.0,No,,,Yes,3.0,No,3,No obstacle,Minor obstacle,Minor obstacle,No obstacle,Minor obstacle,Minor obstacle,Very severe obstacle,No obstacle,Minor obstacle,No obstacle,Moderate obstacle,No obstacle,No obstacle,Minor obstacle,13,7,10,8,1,11,12,6,9,5,2,14,4,15,3,Electricity,13,7,10,8,1,11,12,6,9,5,2,14,4,15,3,5,5,3.0,,5.0,0.0,0.0,0.0,,3,2,0,0,,,,,,,Yes,Dismissals were immediate,No severance was paid,2,2,0.0,3.0,No,,,Yes,Yes,Moderate obstacle,Moderate obstacle,No elecricity from a utiilty (spontaneous),,0,,,2000,380000.0,0.0,200000.0,,300000.0,16,5,8,2025,13,4,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,Face to face only,No,No,Over 250.000 to 1 million,1010,Rift Valley,Small (5-19),Food,Panel,3.4116633,3.45525,6.305421,185,0,0.0
1597846,5,Food,Large,Nyanza and Western,Firm,Manufacturing,Nyanza and Western,315,No,Panel,English,15,8,2025,13,18,2024,12,31,94,Interviewer19,,,,,,Shareholding company with non-traded shares or shares traded privately,,1,Fully domestically owned (private),0,0,0,No,,2000,32,2001,35.0,No,Yes,ISO22000,No,,,,Yes,6.0,2.0,0.0,12.0,,Yes,15.0,No,,No,,,,It is suitable for all operational needs,No,,,1,0,,1,With little difficulty,Manufacturing of ,100,550000000.0,Five hundred and fifty million,600000000.0,Six hundred million,90.0,80,0,20,United Arab Emirates,Yes,2.0,2.0,Less than one day,20.0,8.0,Yes,2005.0,100,0,,,,,,,,,No,,Strongly agree,Strongly agree,Strongly agree,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,3-9 production performance indicators,Yes,Combination of short term and long term production targets,Possible to achieve with some effort,All managers and most production workers,No,,Promotions were based solely on performance and ability,Rarely or never,Local or in some parts of the country,4.0,There is competition among many firms,Increased,Yes,1.0,Yes,1.0,No,"introduction of vacuum packed fish products and pre-packaged fillets. Initially, our main target was customers who preferred fresh fish, which were moving quickly but were highly perishable,which made us go to loses.We introduced vacuum packed ",Yes,"introduction of digital record keeping Initially, we relied on the manual method of record keeping, which resulted in inconsistency in data tracking, making us lose revenue. The introduction of digital record keeping has sufficiently enabled us",No,,,,,,,,,No,,,Strongly agree,No,,Yes,Yes,60,0,0,30,0,10,0,No,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Private commercial banks,2022.0,100000000.0,Yes,Yes,No,Yes,No,No,120000000.0,Yes,No,No,No need for a loan - establishment had sufficient capital,,,Yes,70,"Other (including e-money, e-wallet, and mobile money",mobile money,Payment received in less than a day,0.0,40," Bank transfers, including through online and mobile banking",,2.0,8,Yes,1.0,No,No,,30,"Yes, fully","Yes, fully",No,,The establishment did not need to request a refund,No,,No,,No payments or gifts are paid,,Yes,7.0,No,No,,,1,Minor obstacle,Major obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,Very severe obstacle,Moderate obstacle,Minor obstacle,Moderate obstacle,Major obstacle,Very severe obstacle,Minor obstacle,Major obstacle,Moderate obstacle,2,13,8,7,1,14,11,12,4,3,6,10,15,9,5,Customs and trade regulations,2,13,8,7,1,14,11,12,4,3,6,10,15,9,5,215,240,100.0,,200.0,15.0,80.0,9.0,,20,50,130,0,,,,,,,Yes,10.0,6.0,100,50,10.0,One month or less,Yes,4.0,,Yes,Yes,Major obstacle,Moderate obstacle,9500,680000.0,570,Cubic meters,,172000,64000000.0,170000.0,350000000.0,,2000000000.0,32,15,8,2025,15,45,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with different managers/staff,3.0,20.0,5,Face to face only,No,No,Over 250.000 to 1 million,1020,Nyanza and Western,Large (100 or more),Food,Panel,1.3769281,1.3776815,1.5210738,172,20,1.0
1597847,6,Food,Medium,Coast,Firm,Other services,Coast,184,No,Panel,English,14,8,2025,14,6,2024,12,31,94,Interviewer3,,,,,,Shareholding company with non-traded shares or shares traded privately,,1,Fully domestically owned (private),0,0,0,No,,1995,65,1995,38.0,No,Yes,Iso 22000,No,,,,Yes,5.0,4.0,30.0,15.0,,Yes,20.0,No,,No,,,,It is suitable for only some operational needs,No,,,1,0,,1,With some difficulty,Wholesale trade of ,70,470000000.0,Four hundred and seventy million,320000000.0,three hundred and twenty million,,20,0,80,Australia,Yes,5.0,12.0,12.0,12.0,37.0,No,1995.0,100,0,,,,,,,,,No,,Tend to agree,Tend to agree,Strongly agree,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,3-9 production performance indicators,Yes,Combination of short term and long term production targets,Possible to achieve with more than normal effort,Most managers and most production workers,No,,Promotions were based solely on performance and ability,Within 6 months of identifying non-manager under-performance,Local or in some parts of the country,9.0,The market is dominated by a few firms,Increased,No,0.0,No,0.0,,,No,,No,,,,,,,,,No,,,Strongly agree,No,,Yes,Yes,60,0,0,0,0,40,0,Yes,30000000.0,0.0,50.0,,0.0,,0.0,,0.0,,0.0,,50.0,,0.0,,Yes,Yes,No,Private commercial banks,2017.0,100000000.0,Yes,Yes,No,No,No,No,100000000.0,No,No,No,Collateral requirements were too high,,,Yes,80,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,90," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,20,Yes,5.0,Yes,Yes,8.0,68,"Yes, fully","Yes, fully",Yes,23.0,,No,,No,,No payments or gifts are paid,,No,,,Yes,4.0,No,3,Minor obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,No obstacle,Moderate obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,Very severe obstacle,No obstacle,7,6,15,11,14,12,4,9,10,3,13,1,5,8,2,Tax rates,7,6,15,11,14,12,4,9,10,3,13,1,5,8,2,84,68,70.0,,,,,,20.0,36,28,20,1,,,,,15.0,,Yes,8.0,4.0,60,30,7.0,3.0,No,,,Yes,Yes,Minor obstacle,Minor obstacle,60000,3000000.0,1300,Cubic meters,,200000,180000000.0,56000000.0,,,,18,14,8,2025,15,58,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,6,Face to face only,No,No,City with population over 1 million,4630,Coast,Medium (20-99),Food,Panel,5.729576,6.5617027,5.7298446,49,80,1.0
1597848,8,Food,Medium,Rift Valley,Firm,Manufacturing,Rift Valley,10,No,Panel,English,1,7,2025,14,52,2024,12,31,94,Interviewer31,,,,,,Limited partnership,,1,Fully domestically owned (private),0,0,0,Yes,50.0,2002,10,2002,23.0,Yes,Yes,"HACCP ,1400-1 environmental",No,,,,Yes,2.0,8.0,20.0,1.0,,No,,No,,No,,,,It is suitable for all operational needs,No,,,1,0,,0,There is only one available internet provider,Manufacturing of ,100,30870000.0,Thirty million Eight hundred and seventy Thousand,25050020.0,Twenty five million fifty thousand and twenty,100.0,50,0,50,United States of America,Yes,Less than one day,5.0,Less than one day,2.0,12.0,Yes,2008.0,100,0,,,,,,,,,No,,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,Local or in some parts of the country,Too many to count,The market is dominated by a few firms,Increased,No,0.0,Yes,0.0,,,Yes,"New drier for drying vegetables for export initially, we were using the traditional sun drying low tech drier that required mesh trays but with the purchase of new electric food dehydrator machine it has ensured uniform drying, preserving colou",No,,,,,,,,,No,,,Strongly agree,No,,No,No,70,0,0,10,0,20,0,No,,,,,,,,,,,,,,,,,Yes,Yes,Yes,State-owned banks or government agency,2023.0,10000000.0,Yes,Yes,No,No,No,Yes,12000000.0,Yes,Yes,Yes,,Application was approved in full,14.0,No,90,"Other (including e-money, e-wallet, and mobile money",mobile money,Payment received in less than a day,0.0,90,"Other (including e-money, e-wallet, and mobile money",mobile money,Above 0 but below 0.5%,30,No,,,,,32,"Yes, fully","Yes, fully",No,,The establishment did not need to request a refund,No,,No,,100.0,,No,,,No,,,4,Minor obstacle,Very severe obstacle,Moderate obstacle,Moderate obstacle,Major obstacle,Very severe obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Very severe obstacle,Moderate obstacle,Very severe obstacle,Very severe obstacle,Minor obstacle,11,13,5,7,10,12,14,8,15,1,2,6,3,9,4,Tax rates,11,13,5,7,10,12,14,8,15,1,2,6,3,9,4,10,10,100.0,,10.0,0.0,4.0,0.0,,8,2,0,0,,,,,,,No,,,No part-time workers,20,10.0,One month or less,No,,,No,,Minor obstacle,Minor obstacle,1511,37775.0,60,Cubic meters,,3844,3312587.0,198750.0,7575808.0,,10230000.0,6,1,7,2025,16,5,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,Face to face only,No,No,Over 250.000 to 1 million,1079,Rift Valley,Medium (20-99),Food,Panel,4.733772,5.299414,5.7794013,198,50,1.0
1597849,10,Food,Small,Coast,Firm,Manufacturing,Coast,5,No,Panel,English,24,6,2025,11,2,2024,12,31,94,Interviewer18,,,,,,Sole proprietorship,,1,Fully domestically owned (private),0,0,0,No,,1945,3,1945,20.0,No,No,,No,,,,Yes,5.0,1.0,25.0,3.0,,No,,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,0,1,2.0,0,With no difficulty at all,Manufacturing of ,100,5600000.0,Five million six hundred thousand,7800000.0,seven million  eight hundred thousand,50.0,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Tend to disagree,Tend to disagree,,,,,,,,,,,,Local or in some parts of the country,4.0,The market is dominated by a few firms,Decreased,No,0.0,No,0.0,,,No,,No,,,,,,,,,No,,,Strongly agree,No,,Yes,Yes,0,0,0,50,0,50,0,No,,,,,,,,,,,,,,,,,Yes,Yes,No,Private commercial banks,2023.0,300000.0,Yes,No,Yes,Yes,No,No,350000.0,No,No,No,No need for a loan - establishment had sufficient capital,,,Yes,30,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,90," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,2,Yes,1.0,No,No,,36,"Yes, fully","Yes, fully",No,,The establishment did not need to request a refund,No,,No,,No payments or gifts are paid,,No,,,Yes,One day or less,No,3,No obstacle,Minor obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,Moderate obstacle,No obstacle,Minor obstacle,Moderate obstacle,No obstacle,No obstacle,Very severe obstacle,Minor obstacle,4,1,9,13,3,14,15,11,6,12,2,8,10,7,5,Tax rates,4,1,9,13,3,14,15,11,6,12,2,8,10,7,5,5,5,100.0,,3.0,2.0,0.0,0.0,,2,0,1,0,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,Yes,Yes,No obstacle,Minor obstacle,294,10301.0,30,Cubic meters,,6000,1750000.0,182520.0,2400000.0,,680000.0,13,24,6,2025,12,9,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,6,Face to face only,No,No,City with population over 1 million,1040,Coast,Small (5-19),Food,Panel,6.7808595,8.216884,9.259897,37,0,0.0
1597850,11,Food,Medium,Central,Firm,Manufacturing,Central,211,No,Panel,English,8,4,2025,10,18,2024,12,31,94,Interviewer10,,,,,,Sole proprietorship,,0,Fully domestically owned (private),0,0,0,No,,1992,21,1992,15.0,No,No,,No,,,,Yes,3.0,0.0,50.0,No Losses,,Yes,3.0,No,,No,,,,It is suitable for all operational needs,No,,,1,1,4.0,0,With little difficulty,Manufacturing of ,80,4170000000.0,four billion one hundred and seventy million,3160000000.0,Three billion one hundred and sixty million,100.0,70,10,20,Mexico,Yes,6.0,0.0,8.0,0.0,5.0,Yes,2007.0,100,0,,,,,,,,,Yes,Yes,Tend to agree,Strongly agree,Tend to agree,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,1-2 production performance indicators,Yes,Main focus was on long-term (one year or more) production targets,Possible to achieve with some effort,All managers and most production workers,Yes,Their team's or shift performance,Promotions were based solely on performance and ability,Rarely or never,National ,Too many to count,There is competition among many firms,Increased,Yes,0.0,Yes,0.0,,,No,,No,,,,,,,,,No,,,Strongly agree,No,,Yes,Yes,100,0,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,Yes,No,Private commercial banks,2009.0,600000.0,No,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,No,80,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,70," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,5,No,,,,,32,"Yes, fully","Yes, fully",No,,The application for a refund is too complicated,No,,No,,3.0,,Yes,14.0,Yes,Yes,12.0,Yes,0,Minor obstacle,Moderate obstacle,Minor obstacle,No obstacle,Minor obstacle,Moderate obstacle,No obstacle,Minor obstacle,No obstacle,Minor obstacle,Moderate obstacle,Moderate obstacle,Major obstacle,Minor obstacle,4,10,15,3,11,2,9,12,14,13,6,5,7,8,1,Tax rates,4,10,15,3,11,2,9,12,14,13,6,5,7,8,1,180,130,60.0,,130.0,50.0,50.0,21.0,,52,50,28,1,130.0,,50.0,,71.0,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,Minor obstacle,Minor obstacle,1100,20988.0,1000,Cubic meters,,56000,8040000.0,1200000.0,150000000.0,,7500000.0,10,8,4,2025,15,36,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,4,Face to face only,No,No,City with population over 1 million,1040,Central,Medium (20-99),Food,Panel,6.195321,6.113814,6.734555,15,20,1.0
1597851,16,Food,Medium,Coast,Firm,Manufacturing,Coast,20,No,Panel,English,5,7,2025,10,36,2024,12,31,94,Interviewer9,,,,,,Limited partnership,,1,0,100,0,0,No,,2012,10,2012,27.0,No,No,,No,,,,No,,,,,,Yes,14.0,No,,No,,,,It is suitable for only some operational needs,Yes,8.0,12.0,1,0,,1,With some difficulty,Manufacturing of ,80,32000000.0,thirty two million,28000000.0,Twenty eight million,80.0,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to disagree,Tend to disagree,Tend to agree,We fixed it but did not take further action,Yes,3-9 production performance indicators,Yes,Combination of short term and long term production targets,Targets were not achieved,Most managers and most production workers,No,,Promotions were based solely on performance and ability,After 6 months of identifying non-manager under-performance,Local or in some parts of the country,8.0,There is competition among many firms,Increased,No,0.0,No,0.0,,,No,,No,,,,,,,,,No,,,Tend to agree,No,,No,No,100,0,0,0,0,0,0,Yes,1500000.0,0.0,50.0,,0.0,,0.0,,0.0,,0.0,,50.0,,0.0,,Yes,No,No,,,,,,,,,,,Yes,No,No,Collateral requirements were too high,,,Yes,80,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,90," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,No time spent,Yes,3.0,No,Yes,7.0,45,"Yes, fully","Yes, fully",Yes,Refund still outstanding,,No,,No,,No payments or gifts are paid,,Yes,30.0,No,Yes,2.0,No,4,No obstacle,Very severe obstacle,Minor obstacle,No obstacle,Minor obstacle,Minor obstacle,No obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Major obstacle,Major obstacle,Minor obstacle,8,6,12,9,13,5,11,15,7,4,14,10,2,1,3,Business licensing and permits,8,6,12,9,13,5,11,15,7,4,14,10,2,1,3,20,24,90.0,,12.0,8.0,0.0,2.0,,4,8,0,0,,,,,,,Yes,8.0,4.0,No part-time workers,No full-time seasonal or temporary workers,,,No,,,Yes,Yes,Minor obstacle,Minor obstacle,8000,225000.0,30000,Liters,,30000,8400000.0,1466000.0,15000000.0,,25000000.0,14,5,7,2025,12,21,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,6,Face to face only,No,No,City with population over 1 million,1050,Coast,Medium (20-99),Food,Panel,2.3434274,2.0930743,4.341947,49,0,0.0
1597852,17,Food,Small,Coast,Firm,Manufacturing,Coast,14,No,Panel,English,9,7,2025,10,3,2024,12,31,94,Interviewer3,,,,,,Partnership,,1,80,20,0,0,Yes,10.0,2013,4,2013,21.0,No,No,,No,,,,Yes,5.0,4.0,0.0,,20000.0,Yes,4.0,No,,No,,,,It is suitable for only some operational needs,Yes,10.0,12.0,1,0,,1,With no difficulty at all,Manufacturing of ,70,16500000.0,sixteen million five hundred thousand,16000000.0,sixteen million,50.0,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Strongly agree,Strongly agree,Strongly disagree,,,,,,,,,,,,National ,5.0,The market is dominated by a few firms,Stayed the same,No,0.0,No,0.0,,,No,,Yes,150000.0,,,,,,,,No,,,Strongly agree,No,,No,No,70,0,0,20,0,10,0,Yes,2000000.0,300000.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,Yes,Yes,Yes,Private commercial banks,2024.0,8000000.0,Yes,No,Yes,Yes,No,No,4000000.0,Yes,Yes,Yes,,Application was approved in full,7.0,Yes,80,"Bank transfers, including through online and mobile banking",,1.0,1.0,80," Bank transfers, including through online and mobile banking",,2.0,1,Yes,1.0,No,No,,48,"Yes, fully","Yes, fully",No,,The establishment did not need to request a refund,No,,No,,No payments or gifts are paid,,No,,,Yes,One day or less,No,1,Minor obstacle,No obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Very severe obstacle,Moderate obstacle,Minor obstacle,Moderate obstacle,Minor obstacle,Moderate obstacle,Major obstacle,No obstacle,9,7,15,11,3,14,12,13,2,4,1,5,10,8,6,Electricity,9,7,15,11,3,14,12,13,2,4,1,5,10,8,6,14,12,100.0,,8.0,6.0,2.0,2.0,,5,2,1,1,8.0,,6.0,,4.0,,No,,,2,5,0.0,One month or less,No,,,No,,No obstacle,No obstacle,520,15000.0,50,Cubic meters,,6000,5000000.0,300000.0,5000000.0,,20000000.0,25,9,7,2025,11,10,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,6,Face to face only,No,No,City with population over 1 million,1050,Coast,Small (5-19),Food,Panel,7.1160393,6.054326,6.8957725,37,0,0.0
1597853,20,Food,Medium,Central,Firm,Manufacturing,Central,45,No,Panel,English,5,9,2025,11,44,2024,12,31,94,Interviewer10,,,,,,Sole proprietorship,,0,Fully domestically owned (private),0,0,0,No,,2018,20,2018,7.0,No,No,,No,,,,No,,,,,,No,,No,,No,,,,It is suitable for all operational needs,No,,,1,1,4.0,0,With little difficulty,Manufacturing of ,80,75600000.0,Seventy five million six hundred thousand,74500000.0,Seventy four million five hundred thousand,100.0,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Strongly agree,Strongly agree,Strongly agree,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,1-2 production performance indicators,Yes,Combination of short term and long term production targets,Possible to achieve with some effort,All managers and most production workers,Yes,Their own performance,Promotions were based solely on performance and ability,Rarely or never,Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,No,0.0,No,0.0,,,No,,No,,,,,,,,,No,,,Strongly agree,No,,No,No,100,0,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,No,80,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,80," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,12,No,,,,,32,"Yes, fully","Yes, fully",No,,The application for a refund is too complicated,No,,No,,2.0,,No,,,Yes,8.0,Yes,1,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,No obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,Minor obstacle,Major obstacle,Major obstacle,Moderate obstacle,7,15,12,5,1,10,9,11,13,2,3,6,14,4,8,Tax administration,7,15,12,5,1,10,9,11,13,2,3,6,14,4,8,45,39,75.0,,40.0,5.0,15.0,2.0,,5,30,5,0,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,Minor obstacle,Minor obstacle,210,5880.0,25,Cubic meters,,2300,18900000.0,378000.0,2400000.0,,12500000.0,10,5,9,2025,13,2,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,4,Face to face only,No,No,City with population over 1 million,1061,Central,Medium (20-99),Food,Panel,6.195321,6.113814,6.734555,15,0,0.0
