idstd,id,a4a,a6a,a2,a1c,competition_select,tax_select,vat_applicable,a4b_v4,a0,a3a,a6c,a6b,a7,a1a,a14d,a14m,a14y,a14h,a14min,ic1,a20y,a20m,a20d,a1,a12,a7a,a7b,a11,a7c,a9,b1,b1x,b3a,b2a,b2b,b2c,b2d,b4,TZb1,TZb2,TZb3,b4a,b5,b6,b6b,b7,b7a,TZb4,TZb5,b8,b8x,c3,c4,c5,c31,c32,c6,c7,c8a,c8b,c9a,c9b,c10,c11,c12,c13,c14,c33,c34,c34b,c34bx,c152,c162,c172,c35a,c35b,c22b,TZc1,c36,c37,c38,c39,c40a,c40b,c41a,c41b,c42,c30a,d1a1a,d1a6a,d1a6b,d1a6c,d1a6cx,d1a3,d2,d2x,d2a1,d2a1x,n3,n3x,d3a,d3b,d3c,TZd1a,TZd1b,TZd1c,TZd1d,TZd1e,d31x,d32,d4a,d4b,d33a,d33b,d34,d35,d36a,d36b,d37,d8,d12a,d12b,d13,TZd2a,TZd2b,TZd2c,TZd2d,d38x,d39,d14a,d14b,d40a,d40b,d41,TZd3,TZd4,d30a,d30b,o1,o2,o3a,o3b,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,e1,e2b,e31a,e31b,e6,e11,e32,e33,e34,e35,e30,h1,h2,h3x,h4x,h5,h6x,h7x,h8,h9,f1,g2,g3,g4,g31,g32,g33,g5a,g5b,g5bx,g30a,ge3,ge3a,ge7,ge8d,k3a,k3bc,k3e,k3f,k3hd,k4,n5a,n5b,k5a,k5a1,k5i,k5i1,k5bc,k5bc1,k5e,k5e1,k5f,k5f1,k5hdj,k5hdj1,k4b,n5c,n5d,k6,k7,k82,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k15b,k15c,k15d,k162,k17,k20a1,k31,k32,k21,k33,k34,k35,k36,k37,k38,k39,k40,k30,TZmm1,TZmm2,TZmm3,TZmm4,TZmm5,j31,j2,j3,j4,j5,j32,j33,j34,j35a,j35b,j36,j37,j38,j39,j40,j6a,j41,j42,j43,j7a,j7b,j10,j11,j12,j13,j14,j15,j30a,j30b,j30c,j30e,j30f,h30,i30,j30_taxrate_pos,j30_taxadmin_pos,j30_permit_pos,j30_instability_pos,j30_corruption_pos,j30_courts_pos,j30_crime_pos,l1,l2,l3a,l3b,l4a1,l4a2,l4b,l5a,l5b,l5,l9b,l9b1,l10,l11a,l11a1,l11b,l11b1,l12a,l12a1,TZl1,l31,l32,l33,TZl2,TZl3a,TZl3b,TZl3c,TZl3d,l34,l35,l36,TZl4,TZl5,l1a,l6,l6a,l8,l37,l38,l39,l40,l41,TZl6,l30a,l30b,m1a,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,n2a,n2a2,n2b,n2k,n2l,n2e,n2i,n2a1,n2e1,n7a,n11,n12,a15d,a15m,a15y,a15h,a15min,a16,a17,a18,a19h,a19m,a13,a3b,a3c,a3,d1a2_v4,stratificationregioncode,stratificationsizecode,stratificationsectorcode,stratificationpanelcode,wstrict,wmedian,wweak,strata,d3c_raw,exporter
1181111,8,Other Services,Small,Dar-es-salaam,Establishment,0,0,Yes,Food and beverage,Other services,Dar-es-salaam,12,Small,Yes,Swahili,21,10,2023,13,0,Yes,2022,11,30,Tanzania,ES011,3.0,Yes,No,Yes,,Sole proprietorship,,0.0,100,0.0,0,0,No,100,100.0,0.0,,2016,8,2016,,Yes,2,1,No,,No,,,,120,No,,,,,,No,,No,,,,77,Cubic meters,,No,,,,,0.0,No,0.0,,,0.0,,,,,Don't know (spontaneous),Moderate obstacle,Restaurant,,,,,70,30700000.0,Thirty million and seven hundred thousand,,,72400000.0,Seventy two million and four hundred thousand,100,0,0,100,0,0,0,0,,,,,,,,,,,,,30,70,Don't know (spontaneous),100,0,0,0,,,,,,,,Through other business,Size of the business,Minor obstacle,Moderate obstacle,No,,Tend to agree,Tend to agree,,,,,,,,,,,,Local â main product sold mostly in same municipality where establishment is located,Too many to count,,Don't know (spontaneous),0.0,No,No change,No,No,,Minor obstacle,0.0,,,,No,,,No,,,No,,,No,,,,,,Minor obstacle,No,,No,No,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,,,Don't know (spontaneous),No,No need for a loan - establishment had sufficient capital,,,,No,0,,,,,0,,,2.0,No,,,,,Tend to agree,No time was spent,Yes,3.0,No,No,,No,,48.0,"Yes, fully","Yes, fully",No,,The establishment did not need to apply for a VAT cash refund,No,,No,,No payments or gifts are paid,,No,,,Yes,14.0,No,Moderate obstacle,Minor obstacle,Moderate obstacle,No obstacle,Minor obstacle,No obstacle,Minor obstacle,6,5,1,7,4,3,2,12.0,12,,,2,8,2,,,10.0,,12.0,0.0,,,,,,,1,No need to hire any new permanent full-time workers,,,,,,,,No,,,,,0,No full-time seasonal or temporary workers,,,No,,,Yes,No,No,Minor obstacle,Minor obstacle,Access to finance,6,5,14,11,10,3,2,12,8,9,1,13,15,4,7,32650000.0,3265000.0,2592000,1108800,Don't know (spontaneous),,,,,,Refusal (spontaneous),Refusal (spontaneous),21,10,2023,13,45,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,6,No,Yes,City with population over 1 million,5630,Dar-es-salaam,Small (5-19),Other Services,Panel,144.32193,142.98453,166.6931,38,0,0.0
1181112,12,Retail,Small,Arusha,Establishment,1,1,Yes,Machinery and equipment,Manufacturing,Arusha,5,Small,No,Swahili,17,9,2023,11,52,Yes,2022,12,31,Tanzania,ES002,,,,,,Sole proprietorship,,1.0,100,0.0,0,0,No,100,100.0,0.0,,2007,6,2008,8.0,No,2,0,No,,No,,,,100,No,,,,,,No,,No,,,,10000,Other,Liter capacity,No,,,,,0.0,No,0.0,,,0.0,,,,,Unable to change provider,Very severe obstacle,Manufacturing of ,,,,,100,18000000.0,Eighteen million,15000000.0,fifteen million,10000000.0,Ten Million,100,0,0,0,0,0,0,0,,,,,,,,,,,,,100,0,,100,0,0,0,,,,,,,,Through other business,Size of the business,No obstacle,Minor obstacle,No,,Tend to agree,Tend to agree,,,,,,,,,,,,Local â main product sold mostly in same municipality where establishment is located,Too many to count,Between 50% and 90%,,0.0,No,"Yes, there is more competition",Prices are regulated,No,,No obstacle,0.0,,,,No,,,No,,60.0,No,,,No,,,,,,Minor obstacle,No,,No,No,100,0,0,0,0,Yes,7000000.0,0.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,No,,,Yes,No,No,,,,,,,,,,,,,No,No,Interest rates were not favorable,,,,No,0,,,,,2,Other,1.0,4.0,No,,,,,Tend to agree,No time was spent,Yes,3.0,No,No,,No,3.0,,"Yes, fully","Yes, fully",No,,The establishment did not need to apply for a VAT cash refund,No,,No,,No payments or gifts are paid,,No,,,Yes,12.0,No,Very severe obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,3,2,7,6,5,4,1,5.0,5,3.0,2.0,1,1,1,3.0,2.0,,0.0,,0.0,,,,,,,None,No need to hire any new permanent full-time workers,,,,,,,,No,,,,,5,No full-time seasonal or temporary workers,,,No,,,Yes,Yes,No,No obstacle,No obstacle,Access to finance,3,2,12,1,11,13,6,10,15,7,8,5,14,4,9,3800000.0,500000.0,700000,250000,0,0.0,,3800000.0,1500000.0,3800000.0,8,7,17,9,2023,13,24,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,6,No,No,City with population over 1 million,2825,Arusha,Small (5-19),Retail,Panel,81.70671,94.36843,117.5824,6,0,0.0
1181113,13,Other Services,Small,Dar-es-salaam,Establishment,0,1,Yes,Accommodation,Other services,Dodoma,5,Small,No,Swahili,9,12,2023,14,38,Yes,2022,12,31,Tanzania,ES015,,,,,,Sole proprietorship,,0.0,100,0.0,0,0,No,No family ownership,,,,2022,2,2022,2.0,Yes,5,2,No,,No,,,,112,Yes,1.0,11.0,59.0,8.0,,No,,No,,,,1000,Cubic meters,,No,,,,,0.0,No,0.0,,,0.0,,,,,There is only one available internet provider,Major obstacle,Hotel,7.0,2500.0,Square Meters,,100,16000000.0,sixteen million,,,Establishment was not in business in Fiscal Year,,100,0,0,100,0,0,0,0,,,,,,,,,,,,,100,0,,100,0,0,0,,,,,,,,Through other business,Personal relationship and trust with the top manager of the business,Minor obstacle,Minor obstacle,No,,Tend to agree,Strongly agree,,,,,,,,,,,,Local â main product sold mostly in same municipality where establishment is located,Too many to count,,40.0,0.0,No,"Yes, there is less competition",Prices are regulated,No,,No obstacle,0.0,,,,No,,,No,,,No,,,No,,,,,,No obstacle,No,,Yes,Yes,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,,,No,No,Size of loan and maturity were insufficient,,,,No,0,,,,,0,,,2.0,No,,,,,Tend to agree,No time was spent,Yes,3.0,No,No,,No,One hour or less,,"Yes, partially",No,No,,VAT cash refunds take too long to receive,No,,No,,No payments or gifts are paid,,No,,,No,,,Moderate obstacle,Minor obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,No obstacle,1,6,2,7,4,5,3,5.0,2,,,1,2,2,,,2.0,60.0,,0.0,,,,,,,None,No need to hire any new permanent full-time workers,,,,,,,,No,,,,,0,No full-time seasonal or temporary workers,,,No,,,Yes,No,No,Minor obstacle,No obstacle,Electricity,2,10,9,7,11,14,3,8,13,12,15,5,6,1,4,4600000.0,460000.0,480000,320000,0,,,,,,15,6,9,12,2023,15,32,Truthful,Are in some case taken from books and in some case estimates,One visit in face-to-face interview with one person,,,2,Yes,Yes,City with population over 1 million,5510,Dar-es-salaam,Small (5-19),Other Services,Panel,144.32193,142.98453,166.6931,38,0,0.0
1181114,17,Other Manufacturing,Small,Dar-es-salaam,Establishment,1,1,Yes,Textiles,Manufacturing,Dar-es-salaam,7,Small,No,Swahili,30,6,2023,14,55,Yes,2022,12,31,Tanzania,ES022,,,,,,Sole proprietorship,,1.0,100,0.0,0,0,No,No family ownership,,,,1993,2,2002,30.0,No,2,0,No,,No,,,,120,No,,,,,,No,,No,,,,Don't know (spontaneous),,,No,,,,,1.0,No,0.0,,,0.0,,,,,With no difficulty at all,Moderate obstacle,Manufacturing of ,,,,,100,36000000.0,Thirty six million,15000000.0,fifteen million,12000000.0,Twelve milion,100,0,0,100,0,0,0,0,,,,,,,,,,,,,100,0,,100,0,0,0,,,,,,,,Through other business,Size of the business,Very severe obstacle,Minor obstacle,No,,Strongly agree,Strongly agree,,,,,,,,,,,,Local â main product sold mostly in same municipality where establishment is located,Too many to count,Don't know (spontaneous),,0.0,No,No change,Yes,No,,No obstacle,0.0,,,,Yes,Making suits for leaders as a way of advertising and promoting the business,"Applying for tenders to make suits for government officials, unlike before when we waited for orders.",No,,65.0,No,,,No,,,,,,Major obstacle,No,,No,Yes,100,0,0,0,0,Yes,600000.0,0.0,,600000.0,,0.0,,0.0,,0.0,,0.0,,0.0,No,,,Yes,No,No,,,,,,,,,,,,,No,No,Application procedures were complex,,,,No,40,Mobile money,Payment received in less than a day,Don't know (spontaneous),Don't know (spontaneous),20,Mobile money,Don't know (spontaneous),2.0,Yes,None,10.0,60.0,30.0,Tend to agree,No time was spent,Yes,2.0,No,No,,No,8.0,,No,"Yes, partially",No,,The establishment did not need to apply for a VAT cash refund,No,,No,,No payments or gifts are paid,,No,,,Yes,14.0,No,Moderate obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,No obstacle,Moderate obstacle,Minor obstacle,5,2,6,7,4,1,3,7.0,7,6.0,1.0,2,2,2,2.0,1.0,,,0.0,0.0,,,,,,,None,No need to hire any new permanent full-time workers,,,,,,,,No,,,,,7,No full-time seasonal or temporary workers,,,No,,,No,,No,Minor obstacle,No obstacle,Transport,5,13,1,11,14,6,10,15,8,12,7,3,2,4,9,7000000.0,750000.0,720000,Don't know (spontaneous),Don't know (spontaneous),2600000.0,,6500000.0,2600000.0,200000.0,Refusal (spontaneous),Don't know (spontaneous),30,6,2023,16,31,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,2,No,Yes,City with population over 1 million,1399,Dar-es-salaam,Small (5-19),Other Manufacturing,Panel,18.227509,59.997036,37.71593,32,0,0.0
1181115,18,Other Services,Small,Mbeya,Establishment,0,0,Yes,Retail,Retail services,Mbeya,5,Small,No,Swahili,17,10,2023,9,30,Yes,2022,12,31,Tanzania,ES007,,,,,,Sole proprietorship,,1.0,100,0.0,0,0,No,100,100.0,50.0,,1995,2,1995,20.0,No,2,1,No,,No,,,,48,No,,,,,,No,,No,,,,Don't know (spontaneous),,,No,,,,,0.0,No,0.0,,,0.0,,,,,With no difficulty at all,Major obstacle,Retail trade of ,,,,,100,5000000.0,Five million only,,,7500000.0,Seven million five hundred thousand,100,0,0,100,0,0,0,0,,,,,,,,,,,,,100,0,,100,0,0,0,,,,,,,,Through other business,Size of the business,No obstacle,No obstacle,No,,Tend to agree,Tend to agree,,,,,,,,,,,,Local â main product sold mostly in same municipality where establishment is located,9.0,,Don't know (spontaneous),0.0,Yes,"Yes, there is more competition",No,No,,Major obstacle,0.0,,,,No,,,No,,,No,,,No,,,Don't know (spontaneous),,,No obstacle,No,,No,No,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,,,No,70,Other,20.0,2.0,20000.0,5,Mobile money,2.0,3.0,Yes,None,None,5.0,None,Tend to agree,No time was spent,Yes,3.0,No,No,,No,,20.0,"Yes, fully","Yes, fully",No,,Other,No,,No,,No payments or gifts are paid,,No,,,No,,,Very severe obstacle,Major obstacle,Minor obstacle,Major obstacle,Major obstacle,No obstacle,Very severe obstacle,4,5,3,6,1,7,2,5.0,4,,,3,2,0,,,4.0,100.0,,0.0,,,,,,,70,No need to hire any new permanent full-time workers,,,,,,,,No,,,,,4,1,1.0,11.0,No,,,No,,No,No obstacle,Major obstacle,Practices of competitors in the informal sector,8,5,11,7,15,14,2,13,3,6,12,1,4,10,9,1440000.0,0.0,240000,54000,Don't know (spontaneous),,1500000.0,,,,15,5,17,10,2023,11,19,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,6,No,Yes,City with population over 1 million,4761,Mbeya,Small (5-19),Other Services,Panel,59.14497,58.922653,124.39812,77,0,0.0
1181116,23,Other Manufacturing,Small,Dar-es-salaam,Establishment,0,1,Yes,Food and beverage,Other services,Dar-es-salaam,12,Small,No,Swahili,3,11,2023,12,0,Yes,2022,12,31,Tanzania,ES011,,,,,,Sole proprietorship,,0.0,100,0.0,0,0,No,100,100.0,0.0,,2011,6,2011,3.0,No,2,1,No,,No,,,,90,No,,,,,,No,,No,,,,4,Cubic meters,,No,,,,,0.0,No,0.0,,,0.0,,,,,Don't know (spontaneous),Moderate obstacle,Restaurant,,,,,70,96000000.0,Ninety six million,,,87000000.0,eighty-seven million,100,0,0,100,0,0,0,0,,,,,,,,,,,,,40,60,No,100,0,0,0,,,,,,,,Through other business,Size of the business,Minor obstacle,Minor obstacle,No,,Tend to agree,Tend to agree,,,,,,,,,,,,Local â main product sold mostly in same municipality where establishment is located,Too many to count,,Don't know (spontaneous),0.0,Yes,"Yes, there is more competition",No,No,,Minor obstacle,0.0,,,,No,,,No,,,No,,,No,,,,,,No obstacle,No,,No,No,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,,,Don't know (spontaneous),No,No need for a loan - establishment had sufficient capital,,,,Yes,0,,,,,0,,,2.0,No,,,,,Tend to agree,No time was spent,Yes,3.0,No,No,,No,48.0,,"Yes, fully","Yes, fully",No,,The establishment did not need to apply for a VAT cash refund,No,,No,,No payments or gifts are paid,,No,,,No,,,Moderate obstacle,Moderate obstacle,Moderate obstacle,Minor obstacle,Moderate obstacle,No obstacle,Moderate obstacle,2,6,3,5,4,7,1,12.0,12,,,2,8,2,,,8.0,,12.0,0.0,,,,,,,1,No need to hire any new permanent full-time workers,,,,,,,,No,,,,,0,No full-time seasonal or temporary workers,,,No,,,No,,No,Minor obstacle,Minor obstacle,Access to finance,2,9,13,5,12,1,4,11,14,7,6,10,15,8,3,32000000.0,3200000.0,1080000,336000,Don't know (spontaneous),,,,,,Refusal (spontaneous),Refusal (spontaneous),3,11,2023,12,49,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,6,No,Yes,City with population over 1 million,5630,Dar-es-salaam,Small (5-19),Other Manufacturing,Panel,227.4974,210.63293,243.96967,32,0,0.0
1181117,28,Other Services,Medium,Dar-es-salaam,Establishment,1,0,Yes,Other manufacturing,Manufacturing,Dar-es-salaam,400,Large,Yes,Swahili,27,6,2023,14,18,Yes,2022,12,31,Tanzania,ES012,3.0,Yes,Yes,Yes,,Partnership,,0.0,100,0.0,0,0,Yes,No family ownership,,,30.0,1984,80,1988,6.0,No,400,3,No,,No,,,,Don't know (spontaneous),No,,,,,,No,,No,,,,120,Cubic meters,,Yes,Don't know (spontaneous),,None,,0.0,No,0.0,,,0.0,,,,,Don't know (spontaneous),No obstacle,Manufacturing of ,,,,,80,50000000.0,Fifty million,Don't know (spontaneous),,5000000.0,Five million,80,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),80,0,"China, Hong Kong SAR",Airport,30.0,,30.0,,Don't know (spontaneous),No,,,,Don't know (spontaneous),100,0,,3,Don't know (spontaneous),30,Don't know (spontaneous),,,,,,,,Other (spontaneous),Personal relationship and trust with the top manager of the business,Major obstacle,Minor obstacle,No,,Don't know (spontaneous),Tend to agree,No action was taken,No,,Yes,Combination of short term and long term production targets,Targets were not achieved,Most managers and some production workers,No,,"Promotions were based partly on performance and ability, and partly on other factors (for example, tenure or family connections)",DOES NOT APPLY (SPONTANEOUS),International,Don't know (spontaneous),,,0.0,Yes,"Yes, there is less competition",Prices are regulated,No,,Major obstacle,0.0,,,,No,,,No,,80.0,No,,,No,,,,,,No obstacle,Yes,20000000.0,No,No,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),No,,,,,,,,,,,,,,,No,,,No,No,No,,,,,,,,,,,,,No,"Yes, a loan only",,Still in process,300000.0,Don't know (spontaneous),No,Don't know (spontaneous),,,,,Don't know (spontaneous),,,0.0,Yes,20.0,Don't know (spontaneous),50.0,25.0,Strongly disagree,No time was spent,Yes,2.0,No,No,,No,,4.0,"Yes, fully","Yes, partially",No,,The establishment did not need to apply for a VAT cash refund,No,,No,,Don't know (spontaneous),,No,,,No,,,Major obstacle,No obstacle,Moderate obstacle,No obstacle,No obstacle,No obstacle,No obstacle,5,2,7,4,3,1,6,400.0,400,200.0,200.0,100,50,50,9.0,91.0,,15.0,,1.0,Don't know (spontaneous),,Don't know (spontaneous),,20.0,,None,No need to hire any new permanent full-time workers,,,,,,,,No,,,,,0,Don't know (spontaneous),,,Yes,3.0,Don't know (spontaneous),Yes,Yes,No,Minor obstacle,No obstacle,Access to land,5,9,11,4,3,12,6,13,2,14,10,1,15,7,8,20000000.0,2000000.0,200000,285000,Don't know (spontaneous),4500000.0,,Don't know (spontaneous),450000.0,20000000.0,14,4,27,6,2023,15,33,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,6,No,Yes,City with population over 1 million,3240,Dar-es-salaam,Medium (20-99),Other Services,Panel,19.267946,19.325388,23.074839,48,Don't know (spontaneous),
1181118,29,Retail,Small,Dar-es-salaam,Establishment,0,1,Yes,Retail,Retail services,Dar-es-salaam,12,Small,No,Swahili,22,9,2023,13,2,Yes,2023,4,30,Tanzania,ES018,,,,,,Sole proprietorship,,1.0,100,0.0,0,0,No,No family ownership,,,,2008,4,2008,15.0,No,2,1,No,,No,,,,40,No,,,,,,No,,No,,,,20,Gallons,,No,,,,,0.0,No,0.0,,,0.0,,,,,With no difficulty at all,Major obstacle,Retail trade of ,,,,,100,600000000.0,Six hundred million,,,400000000.0,Four Hundred Million,100,0,0,85,0,0,15,0,,,,,,,,,,,,,100,0,,70,20,10,0,,,,,,,,Through Chamber of Commerce or business association,Gender of the business owner or top manager,Minor obstacle,Minor obstacle,No,,Tend to agree,Tend to disagree,,,,,,,,,,,,National â main product sold mostly across the country where establishment is located,Too many to count,,90.0,0.0,Yes,"Yes, there is more competition",No,No,,Major obstacle,0.0,,,,No,,,No,,,No,,,No,,,Don't know (spontaneous),,,Moderate obstacle,No,,No,Yes,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,,,No,No,Application procedures were complex,,,,No,0,,,,,0,,,3.0,Yes,5.0,20.0,15.0,30.0,Strongly disagree,5,Yes,1.0,No,No,,No,96.0,,No,No,No,,The establishment did not need to apply for a VAT cash refund,No,,No,,No payments or gifts are paid,,No,,,Yes,4.0,No,Major obstacle,Major obstacle,Major obstacle,Major obstacle,Very severe obstacle,Minor obstacle,Moderate obstacle,1,4,2,6,7,5,3,12.0,12,,,2,4,6,,,1.0,35.0,,0.0,,,,,,,10,No need to hire any new permanent full-time workers,,,,,,,,No,,,,,12,12,1.0,12.0,No,,,Yes,No,No,Major obstacle,Major obstacle,Labor regulations,14,6,10,2,15,13,3,11,12,8,4,5,9,1,7,150000000.0,60000000.0,750000,100000,0,,Don't know (spontaneous),,,,Don't know (spontaneous),Don't know (spontaneous),22,9,2023,14,0,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,2,No,Yes,City with population over 1 million,4752,Dar-es-salaam,Small (5-19),Retail,Panel,118.81806,117.35484,180.36006,34,0,0.0
1181119,34,Other Manufacturing,Small,Arusha,Establishment,1,0,Yes,Services of motor vehicles,Retail services,Arusha,7,Small,No,Swahili,9,9,2023,13,22,Yes,2022,12,31,Tanzania,ES002,,,,,,Sole proprietorship,,1.0,100,0.0,0,0,No,100,100.0,0.0,,2009,2,2010,10.0,No,2,1,No,,No,,,,50,No,,,,,,Yes,6.0,No,,,,5000,Other,Liter capacity,No,,,,,0.0,No,0.0,,,0.0,,,,,Unable to change provider,Very severe obstacle,Retail trade of ,,,,,99,36000000.0,Thirty six million,,,20000000.0,Twenty million,100,0,0,100,0,0,0,0,,,,,,,,,,,,,100,0,,100,0,0,0,,,,,,,,Through other business,Size of the business,No obstacle,Moderate obstacle,No,,Tend to agree,Tend to agree,,,,,,,,,,,,Local â main product sold mostly in same municipality where establishment is located,Too many to count,Between 50% and 90%,,0.0,No,"Yes, there is more competition",Prices are regulated,No,,No obstacle,1.0,No,This is a store selling Motorcylcle spare parts and providing repairing services for damaged motorcycles,It is repairing the damaged motorcycles,No,,,No,,,No,,,No,,,70.0,Square Meters,,No obstacle,No,,No,No,100,0,0,0,0,No,,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,,,No,No,Interest rates were not favorable,,,,No,3,Other,Payment received in less than a day,1.0,100000.0,3,Other,3.0,4.0,No,,,,,Tend to agree,No time was spent,Yes,5.0,No,No,,No,,3.0,"Yes, fully","Yes, fully",No,,The establishment did not need to apply for a VAT cash refund,No,,No,,No payments or gifts are paid,,No,,,Yes,20.0,No,Very severe obstacle,Major obstacle,Moderate obstacle,No obstacle,Minor obstacle,No obstacle,No obstacle,6,3,5,7,2,4,1,7.0,7,,,3,3,1,,,0.0,0.0,,0.0,,,,,,,1,No need to hire any new permanent full-time workers,,,,,,,,No,,,,,7,No full-time seasonal or temporary workers,,,No,,,Yes,Yes,No,No obstacle,No obstacle,Access to finance,6,3,12,14,15,4,11,13,9,5,7,1,10,8,2,8400000.0,1600000.0,2000000,700000,100000,,0.0,,,,18,18,9,9,2023,14,23,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,6,No,No,City with population over 1 million,4530,Arusha,Small (5-19),Other Manufacturing,Panel,54.802372,56.897762,81.968864,4,0,0.0
1181120,38,Other Manufacturing,Large,Dar-es-salaam,Establishment,0,1,Yes,Repair of computers and household goods,Other services,Dar-es-salaam,6,Small,No,Swahili,25,8,2023,13,21,Yes,2022,12,31,Tanzania,ES025,,,,,,Sole proprietorship,,1.0,100,0.0,0,0,No,No family ownership,,,,1981,10,1981,30.0,No,1,0,No,,No,,,,80,No,,,,,,No,,No,,,,Don't know (spontaneous),,,No,,,,,0.0,No,0.0,,,0.0,,,,,Don't know (spontaneous),Minor obstacle,Provide services of ,,,,,100,25000000.0,Twenty five million,,,14000000.0,fourteen million,100,0,0,100,0,0,0,0,,,,,,,,,,,,,100,0,,100,0,0,0,,,,,,,,Through other business,Size of the business,No obstacle,Minor obstacle,No,,Strongly agree,Strongly agree,,,,,,,,,,,,Local â main product sold mostly in same municipality where establishment is located,12.0,,Don't know (spontaneous),0.0,Yes,"Yes, there is less competition",No,Don't know (spontaneous),,Minor obstacle,0.0,,,,No,,,No,,,No,,,No,,,,,,Very severe obstacle,No,,No,No,100,0,0,0,0,Yes,1500000.0,0.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,No,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,,,No,90,Mobile money,1.0,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),,,1.0,Yes,None,None,30.0,70.0,Strongly agree,No time was spent,Yes,2.0,No,No,,No,Don't know (spontaneous),,No,"Yes, fully",No,,Don't know (spontaneous),No,,No,,No payments or gifts are paid,,No,,,No,,,Moderate obstacle,Major obstacle,Moderate obstacle,Moderate obstacle,Major obstacle,No obstacle,Moderate obstacle,7,2,1,3,5,6,4,6.0,5,,,1,5,0,,,0.0,0.0,,0.0,,,,,,,None,2,No hires,Lack of skilled labor,,,,,,No,,,,,1,5,0.0,12.0,No,,,Yes,Yes,No,No obstacle,Minor obstacle,Access to finance,10,15,1,12,11,14,4,6,5,7,13,3,9,8,2,500000.0,0.0,540000,0,0,,,,,,Refusal (spontaneous),Refusal (spontaneous),25,8,2023,14,35,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,3,No,Yes,City with population over 1 million,9522,Dar-es-salaam,Large (100 or more),Other Manufacturing,Panel,59.82678,56.822136,85.21225,52,0,0.0
