idstd,id,a4a,a6a,a2,a1c,a0,a3a,a6c,a7,panel,a1a,a14d,a14m,a14y,a14h,a14min,a20y,a20m,a20d,a1,a12,a7a,a7b,a11,a7c,a9,b1,b1x,b3a,b2a,b2b,b2c,b2d,b4,b4a,b5,b6,b6b,b7,b7a,b8,b8x,c3,c4,c5,c31,c6,c7,c8a,c8b,c9a,c9b,c10,c11,c43,c44,c12,c13,c14,c33,c45,c152,c162,c172,c22b,c36,c37,c39,c42,d1a1a,d1a3,d2,d2x,n3,n3x,f1,d3a,d3b,d3c,d31x,d42,d43a,d43b,d4a,d4b,d342,d352,d8,d12a,d12b,d13,d38x,d44,d45a,d45b,d14a,d14b,d412,o1,o2,o3a2,o3b2,j31,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,e1,e2b,e312,e32,e33,e6,e11,h1,h2,h32x,h5,h62x,h8,h9,d1a6a,d1a6b,d1a6c,d1a6cx,g5a,g5b,g5bx,g2,g3,g4,g34,ge3,ge3a,ge7,ge8d,k3a,k3i,k3j,k3bc,k3e,k3f,k3dgh,k4,n5a,n5b,k5a,k5a1,k5i,k5i1,k5j,k5j1,k5bc,k5bc1,k5e,k5e1,k5f,k5f1,k5dgh,k5dgh1,k6,k82b,k82a,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k15d,k162a,k162b,k17,k20a1,k32,k21,k33,k342,k342x,k35,k36,k38,k392,k392x,k40,j2,j3,j4,j5,j32,j33,j35,j36,j37,j38,j39,j40,j6a,j41,j42,j43,j7a,j7b,j10,j11,j12,j13,j14,j15,k30,g30a,j30c,j30f,h30,i30,d30b,c30a,l30b,l30a,j30e,e30,j30b,j30a,d30a,k30_finance_pos,g30_land_pos,j30_permit_pos,j30_corruption_pos,j30_courts_pos,j30_crime_pos,d30_trade_pos,c30_electricity_pos,l30_workforce_pos,l30_labor_pos,j30_instability_pos,e30_informal_pos,j30_taxadmin_pos,j30_taxrate_pos,d30_transport_pos,m1a,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,l1,l2,l9b,l9b1,l3a,l3b,l5a,l5b,l5,l4a1,l4a2,l4b,l10,l11a1,l11a,l11b1,l11b,l12a1,l12a,l34,l35,l36,l1a,l6,l6a,l8,l37,l38a,l38b,l40,l41,l30d,l30c,c32,c32b,c34,c34b,c34bx,c34c,n2a,n2a2,n2e,n2i,n7a,n11,a15d,a15m,a15y,a15h,a15min,a16,a17,a18,a19h,a19m,a13,a1d,a3b,a3c,a3,d1a2_v4,stratificationregioncode,stratificationsizecode,stratificationsectorcode,stratificationpanelcode,wstrict,wmedian,wweak,strata,d3c_raw,exporter
1614120,4,Food,Large,Eastern,Establishment,Manufacturing,Eastern,1000,No,Panel,English,8,5,2025,11,3,2024,12,31,36,16,,,,,,Partnership,,0.0,40,60.0,0,0,Yes,30.0,1986,25,1986,24.0,No,No,,No,,,,Yes,6.0,4.0,0.0,5.0,,Yes,30.0,No,,No,,,,It is suitable for all operational needs,Yes,2.0,8.0,1,0,,0.0,With little difficulty,Manufacturing of ,100,1200000000.0,one billion two hundred million.,900000000.0,nine hundred million,20.0,60,15,25,Kenya,Yes,7.0,0.0,3.0,0.0,5.0,No,1995.0,40,60,Yes,China,Yes,3.0,0.0,2.0,0.0,2.0,No,,Tend to agree,Tend to agree,Tend to agree,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,3-9 production performance indicators,Yes,Main focus was on short-term (less than one year) production targets,Possible to achieve with more than normal effort,All managers and most production workers,Yes,Their own performance,Promotions were based solely on performance and ability,Within 6 months of identifying non-manager under-performance,Local or in some parts of the country,11.0,The market is dominated by a few firms,Increased,Yes,1,No,0,,,No,,No,,,,,,,,,No,,,Tend to agree,No,,Yes,Yes,85,15,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,Interest rates were not favorable,,,Yes,50,"Bank transfers, including through online and mobile banking",,2.0,Above 0 but below 0.5%,80," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,3,Yes,2.0,No,No,,One hour or less,"Yes, fully","Yes, fully",No,,The establishment did not need to request a refund,No,,No,,Don't know (spontaneous),,Yes,7.0,No,Yes,One day or less,No,3.0,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,Major obstacle,Major obstacle,Minor obstacle,13,4,3,12,7,1,11,8,14,5,2,10,15,6,9,Tax rates,13,4,3,12,7,1,11,8,14,5,2,10,15,6,9,250,180,70.0,,110.0,140.0,40.0,54.0,,20,60,30,1,110.0,,140.0,,94.0,,Yes,2.0,4.0,400,100,30.0,One month or less,No,,,No,,Minor obstacle,Minor obstacle,3000,2000000.0,1000,Cubic meters,,1200000,500000000.0,150000000.0,200000000.0,,350000000.0,30,8,5,2025,12,19,Truthful,Are in some case taken from books and in some case estimates,One visit in face-to-face interview with one person,,,1,Face to face only,No,No,Over 250.000 to 1 million,1073,Eastern,Large (100 or more),Food,Panel,1.0,1.0,1.3561119,62,25,1.0
1614121,11,Other Services,Small,Central,Establishment,Other services,Central,80,Yes,Panel,English,8,4,2025,14,31,2024,12,31,36,14,2.0,Yes,Yes,Yes,,Shareholding company with non-traded shares or shares traded privately,,1.0,Fully domestically owned (private),0.0,0,0,Yes,1.0,1992,Don't know (spontaneous),1992,32.0,Yes,Yes,The respondent is not sure of the Certificate,No,,,,Yes,3.0,4.0,30.0,No Losses,,Yes,5.0,No,,No,,,,It is suitable for all operational needs,No,,,1,1,10.0,0.0,With no difficulty at all,Wholesale trade of ,100,,,Don't know (spontaneous),,,100,0,0,,,,,,,,,,10,90,Yes,South Africa,Yes,7.0,Don't know (spontaneous),30.0,Don't know (spontaneous),Don't know (spontaneous),No,,Tend to agree,Tend to agree,Tend to agree,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",No,,No,,,,Yes,Their team's or shift performance,"Promotions were based partly on performance and ability, and partly on other factors (for example, tenure or family connections)",Rarely or never,National ,Too many to count,There is competition among many firms,Decreased,Yes,0,Yes,1,Yes,"Introduced new brands of wine, introduced wine tasting.",No,,No,,,,,,,,,No,,,Tend to agree,Yes,30000000.0,No,No,60,10,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),10,10,No,,,,,,,,,,,,,,,,,Yes,No,Don't know (spontaneous),,,,,,,,,,,Don't know (spontaneous),No,No,No need for a loan - establishment had sufficient capital,,,Yes,80,Debit cards,,Payment received in less than a day,0.0,90," Bank transfers, including through online and mobile banking",,0.0,30,Yes,5.0,No,Yes,2.0,4,"Yes, fully","Yes, fully",Yes,Don't know (spontaneous),,Yes,Very much difficult,Yes,18.0,No payments or gifts are paid,,No,,,No,,,0.0,No obstacle,Minor obstacle,No obstacle,Minor obstacle,No obstacle,Major obstacle,Minor obstacle,No obstacle,No obstacle,Minor obstacle,Moderate obstacle,No obstacle,Very severe obstacle,Moderate obstacle,5,11,12,9,4,15,2,7,13,8,1,14,6,10,3,Tax rates,5,11,12,9,4,15,2,7,13,8,1,14,6,10,3,70,65,100.0,,,,,,28.0,50,10,10,1,,,,,20.0,,Yes,4.0,6.0,3,No full-time seasonal or temporary workers,,,No,,,No,,Minor obstacle,No obstacle,2000,2000000.0,52000,Liters,,13000000,Don't know (spontaneous),,,,,Refusal (spontaneous),9,4,2025,14,42,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,Face to face only,Yes,Yes,City with population over 1 million,4630,Central,Small (5-19),Other Services,Panel,153.42749,157.86736,293.1415,8,0,0.0
1614122,12,Other Manufacturing,Small,Eastern,Establishment,Manufacturing,Eastern,10,No,Panel,English,23,6,2025,10,57,2024,12,31,36,6,,,,,,Sole proprietorship,,1.0,Fully domestically owned (private),0.0,0,0,No,,1970,3,1975,30.0,No,No,,No,,,,Yes,2.0,3.0,59.0,,1500000.0,No,,No,,No,,,,PIPED WATER NOT USED FOR OPERATIONS,No,,,0,0,,0.0,With no difficulty at all,Manufacturing of ,70,45000000.0,FOURTY FIVE MILLION,40000000.0,FOURTY MILLION,70.0,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,National ,Too many to count,There is competition among many firms,Increased,No,0,No,0,,,No,,No,,,,,,,,,No,,,Strongly agree,Yes,40000000.0,No,No,100,0,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,Interest rates were not favorable,,,No,1,"Other (including e-money, e-wallet, and mobile money",MOBILE MONEY,Payment received in less than a day,Above 0 but below 0.5%,20,"Other (including e-money, e-wallet, and mobile money",MOBILE MONEY,Above 0 but below 0.5%,30,Yes,2.0,No,No,,30,"Yes, fully","Yes, fully",No,,Refunds take too long to receive,No,,No,,No payments or gifts are paid,,No,,,Yes,14.0,No,2.0,Moderate obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,Minor obstacle,Very severe obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Moderate obstacle,Moderate obstacle,Minor obstacle,3,1,10,7,11,8,12,4,9,13,14,15,2,5,6,Electricity,3,1,10,7,11,8,12,4,9,13,14,15,2,5,6,6,5,60.0,,4.0,2.0,0.0,0.0,,4,0,0,1,4.0,,2.0,,,No women employees trained,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,Yes,No,No obstacle,No obstacle,188,150000.0,Don't know (spontaneous),,,Don't know (spontaneous),7200000.0,2160000.0,6000000.0,,30000000.0,30,23,6,2025,11,51,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1,Face to face only,No,No,Over 250.000 to 1 million,1410,Eastern,Small (5-19),Other Manufacturing,Panel,65.88891,55.69917,116.90133,48,0,0.0
1614123,17,Other Services,Small,Central,Establishment,Other services,Central,10,No,Panel,English,13,7,2025,15,12,2024,12,31,36,14,,,,,,Sole proprietorship,,1.0,Fully domestically owned (private),0.0,0,0,No,,2009,4,2011,16.0,No,No,,No,,,,Yes,7.0,4.0,30.0,No Losses,,No,,No,,No,,,,It is suitable for all operational needs,Yes,5.0,3.0,0,0,,0.0,With no difficulty at all,Hotel,100,49600000.0,FORTY NINE MILLION SIX HUNDRED THOUSAND,18230000.0,EIGHTEEN MILLION TWO HUNDRED THIRTY THOUSAND,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Tend to agree,Tend to disagree,,,,,,,,,,,,Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,Yes,0,Yes,0,,,Yes,"WE INTRODUCED THE IDEA OF A CLIET TO CALL ON OUR NUMBERS TO BOOK ANY ROOM HE OR SHE WOULD WISH, BY BOOKING, THE CLIENT IS ALSO REQUESTED TO DEPOSIT SOME MONEY TO SHOW THE ZEAL AND SERIOUSNESS OF WANTING TO CHECK IN.",No,,20.0,5.0,Square Meters,,,,,No,,,Tend to agree,No,,No,No,70,30,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,No,70,"Other (including e-money, e-wallet, and mobile money","MTN, AIRTEL MOBILE MONEY",Payment received in less than a day,0.0,30,"Other (including e-money, e-wallet, and mobile money","MTN, AIRTEL MOBILE MONEY",0.0,1,Yes,3.0,No,No,,One hour or less,"Yes, fully","Yes, fully",No,,The establishment did not need to request a refund,No,,No,,No payments or gifts are paid,,No,,,No,,,0.0,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,Moderate obstacle,Moderate obstacle,No obstacle,14,11,6,15,3,12,13,8,7,5,10,4,2,9,1,Access to finance,14,11,6,15,3,12,13,8,7,5,10,4,2,9,1,6,5,100.0,,,,,,5.0,3,2,1,0,,,,,,,No,,,2,No full-time seasonal or temporary workers,,,No,,,No,,No obstacle,No obstacle,176,176000.0,39,Cubic meters,,195000,9000000.0,1200000.0,,,,1,13,7,2025,17,6,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,Face to face only,Yes,Yes,City with population over 1 million,5510,Central,Small (5-19),Other Services,Panel,153.42749,157.86736,293.1415,8,0,0.0
1614124,28,Food,Medium,Central,Establishment,Manufacturing,Central,100,No,Panel,English,29,4,2025,12,13,2024,12,31,36,9,,,,,,Shareholding company with shares traded on the stock market,,1.0,Fully domestically owned (private),0.0,0,0,No,,2007,5,2007,20.0,No,Yes,iso,No,,,,No,,,,,,No,,No,,No,,,,It is suitable for all operational needs,No,,,0,0,,1.0,With some difficulty,Manufacturing of ,70,3000000000.0,three billion,2000000000.0,two billion,70.0,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Tend to agree,Tend to agree,We fixed it but did not take further action,Yes,1-2 production performance indicators,Yes,Main focus was on long-term (one year or more) production targets,Possible to achieve with some effort,All managers and most production workers,Yes,Their own performance,Promotions were based solely on performance and ability,Rarely or never,National ,Too many to count,There is competition among many firms,Increased,No,0,No,0,,,No,,No,,,,,,,,,No,,,Tend to agree,No,,No,No,80,20,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,No,80,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,0.0,75," Bank transfers, including through online and mobile banking",,0.0,No time spent,Yes,1.0,No,Yes,2.0,Don't know (spontaneous),"Yes, fully","Yes, fully",No,,The establishment did not need to request a refund,No,,No,,,100000000.0,No,,,No,,,1.0,Minor obstacle,No obstacle,Moderate obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Minor obstacle,1,13,5,10,8,11,2,15,6,3,12,14,4,7,9,Corruption,1,13,5,10,8,11,2,15,6,3,12,14,4,7,9,50,50,85.0,,35.0,15.0,7.0,10.0,,10,25,0,0,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,No obstacle,No obstacle,Don't know (spontaneous),440000.0,Don't know (spontaneous),,,250000,700000000.0,200000000.0,400000000.0,,5000000000.0,35,29,4,2025,13,28,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1,Face to face only,Yes,Yes,City with population over 1 million,1073,Central,Medium (20-99),Food,Panel,16.908047,24.842424,39.833614,10,0,0.0
1614125,30,Other Manufacturing,Large,Central,Establishment,Manufacturing,Central,110,No,Panel,English,22,3,2025,8,52,2024,12,31,36,5,,,,,,Shareholding company with non-traded shares or shares traded privately,,1.0,51,0.0,0,49,Yes,6.0,1981,10,1981,44.0,No,No,,No,,,,Yes,10.0,6.0,One minute or less,20.0,,Yes,20.0,No,,No,,,,It is suitable for only some operational needs,No,,,1,0,,1.0,With some difficulty,Manufacturing of ,100,13000000000.0,THIRTEEN BILLION,13000000000.0,THIRTEEN BILLION,90.0,99,0,1,South Sudan,Yes,90.0,0.0,14.0,0.0,2.0,Yes,2022.0,12,88,Yes,Japan,Yes,14.0,0.0,90.0,0.0,45.0,No,,Tend to agree,Strongly disagree,Strongly disagree,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,3-9 production performance indicators,Yes,Combination of short term and long term production targets,Possible to achieve with some effort,Most managers and most production workers,No,,"Promotions were based partly on performance and ability, and partly on other factors (for example, tenure or family connections)",After 6 months of identifying non-manager under-performance,Local or in some parts of the country,15.0,There is competition among many firms,Increased,No,1,No,0,,,No,,Yes,20000000.0,,,,,,,,Yes,90.0,Yes,Tend to agree,No,,No,Yes,100,0,0,0,0,0,0,Yes,600000000.0,0.0,0.0,,0.0,,0.0,,100.0,,0.0,,0.0,,0.0,,Yes,No,Yes,Private commercial banks,2022.0,5500000000.0,Yes,Yes,No,No,No,No,6000000000.0,No,No,No,No need for a loan - establishment had sufficient capital,,,No,0,,,,,80," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,5,Yes,2.0,No,Yes,4.0,24,"Yes, fully","Yes, fully",Yes,8.0,,Yes,Very much difficult,Yes,365.0,No payments or gifts are paid,,Yes,2.0,No,Yes,30.0,No,1.0,Minor obstacle,Minor obstacle,Major obstacle,Major obstacle,Minor obstacle,Major obstacle,Major obstacle,Major obstacle,Minor obstacle,Minor obstacle,Major obstacle,Major obstacle,Moderate obstacle,Major obstacle,6,13,3,14,10,2,12,11,15,8,9,5,1,4,7,Access to finance,6,13,3,14,10,2,12,11,15,8,9,5,1,4,7,57,44,40.0,,37.0,20.0,13.0,7.0,,10,27,0,1,5.0,,20.0,,10.0,,No,,,110,15,10.0,7.0,Yes,3.0,,Yes,Yes,Minor obstacle,Minor obstacle,2500,2000000.0,365854,Liters,,1500000,1500000000.0,113000000.0,6000000000.0,,12000000000.0,30,22,3,2025,10,6,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1,Face to face only,Yes,Yes,City with population over 1 million,2100,Central,Large (100 or more),Other Manufacturing,Panel,1.0,1.0,1.0478432,20,1,1.0
1614126,33,Retail,Small,Central,Establishment,Retail services,Central,8,No,Panel,English,16,6,2025,13,23,2024,12,31,36,19,,,,,,Limited partnership,,0.0,Fully domestically owned (private),0.0,0,0,Yes,80.0,1999,5,1999,20.0,No,No,,No,,,,Yes,2.0,0.0,20.0,1.0,,Yes,2.0,No,,No,,,,It is suitable for all operational needs,No,,,0,0,,0.0,With no difficulty at all,Retail trade of ,100,40000000.0,Forty Million,15000000.0,Fifteen million,,100,0,0,,,,,,,,,,70,30,No,,,,,,,,No,,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,No,0,No,0,,,No,,No,,,,,,Don't know (spontaneous),,,No,,,Strongly agree,No,,Yes,Yes,30,10,0,0,0,60,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,Yes,No,No,Interest rates were not favorable,,,No,40,"Other (including e-money, e-wallet, and mobile money",Mobile money,Payment received in less than a day,Above 0 but below 0.5%,65," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,No time spent,No,,,,,30,"Yes, fully","Yes, fully",No,,Not eligible,No,,No,,2.0,,No,,,No,,,0.0,Minor obstacle,Minor obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,Moderate obstacle,Major obstacle,Minor obstacle,1,12,7,6,5,3,2,14,11,15,13,9,10,4,8,Tax rates,1,12,7,6,5,3,2,14,11,15,13,9,10,4,8,8,2,7.0,,,,,,5.0,5,2,1,0,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,No obstacle,No obstacle,250,94750.0,1500,Cubic feet,,37500,5000000.0,1400000.0,,30000000.0,,3,16,6,2025,14,14,Truthful,Are in some case taken from books and in some case estimates,One visit in face-to-face interview with one person,,,1,Face to face only,Yes,Yes,City with population over 1 million,4719,Central,Small (5-19),Retail,Panel,107.021225,109.443504,199.44629,6,0,0.0
1614127,41,Other Services,Small,Central,Establishment,Other services,Central,6,No,Panel,English,23,6,2025,15,43,2024,12,31,36,4,,,,,,Sole proprietorship,,1.0,Fully domestically owned (private),0.0,0,0,No,,2010,3,2010,10.0,Yes,No,,No,,,,Yes,3.0,1.0,45.0,5.0,,Yes,20.0,No,,No,,,,It is suitable for all operational needs,Yes,4.0,3.0,0,1,5.0,0.0,With no difficulty at all,Hotel,100,50000000.0,FIFTY MILLION,20000000.0,TWENTY MILLION,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Tend to agree,Tend to agree,,,,,,,,,,,,Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,Yes,0,Yes,0,,,No,,No,,98.0,100.0,Square Yards,,,,,No,,,Tend to agree,No,,No,No,100,0,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,Yes,No,No,Collateral requirements were too high,,,Yes,30,"Other (including e-money, e-wallet, and mobile money",mobile money,Payment received in less than a day,0.0,10," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,20,Yes,3.0,No,No,,30,"Yes, fully","Yes, partially",No,,Not eligible,No,,No,,No payments or gifts are paid,,No,,,Yes,5.0,No,1.0,No obstacle,Moderate obstacle,Moderate obstacle,Minor obstacle,Moderate obstacle,Minor obstacle,Minor obstacle,No obstacle,Minor obstacle,Minor obstacle,Major obstacle,Minor obstacle,Major obstacle,No obstacle,12,11,14,7,3,6,5,4,8,13,9,1,10,15,2,Tax rates,12,11,14,7,3,6,5,4,8,13,9,1,10,15,2,1,2,100.0,,,,,,1.0,1,0,0,0,,,,,,,Yes,Dismissals were immediate,No severance was paid,5,No full-time seasonal or temporary workers,,,No,,,Yes,Yes,Minor obstacle,Minor obstacle,1500,350000.0,2300,Cubic feet,,45000,5000000.0,300000.0,,,,5,23,6,2025,17,19,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1,Face to face only,Yes,Yes,City with population over 1 million,5510,Central,Small (5-19),Other Services,Panel,153.42749,157.86736,293.1415,8,0,0.0
1614128,42,Other Manufacturing,Small,Western,Establishment,Retail services,Western,7,No,Panel,English,14,4,2025,10,53,2024,12,31,36,8,,,,,,Shareholding company with non-traded shares or shares traded privately,,1.0,Fully domestically owned (private),0.0,0,0,Yes,25.0,2000,5,2000,25.0,No,No,,No,,,,Yes,1.0,12.0,0.0,No Losses,,Yes,Don't know (spontaneous),No,,No,,,,It is suitable for only some operational needs,No,,,0,1,2.0,1.0,With some difficulty,Retail trade of ,70,100000000.0,one hundred million,200000000.0,Two hundred million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,Yes,Yes,Tend to agree,Tend to agree,Tend to disagree,,,,,,,,,,,,Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,No,0,No,0,,,No,,No,,,,,,Don't know (spontaneous),,,No,,,Tend to agree,No,,No,No,20,10,0,15,15,20,20,No,,,,,,,,,,,,,,,,,Yes,No,Yes,Non-bank financial institutions,2024.0,25000000.0,Yes,No,No,No,Yes,No,30000000.0,Yes,Yes,No,,Application was approved in full,3.0,Yes,90,"Bank transfers, including through online and mobile banking",,7.0,10.0,0,,,,5,Yes,1.0,No,No,,Don't know (spontaneous),"Yes, fully","Yes, fully",No,,The application for a refund is too complicated,Yes,Very much difficult,Yes,30.0,10.0,,No,,,Yes,One day or less,Yes,3.0,Very severe obstacle,Minor obstacle,Very severe obstacle,No obstacle,Major obstacle,Does not apply,Very severe obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Major obstacle,Major obstacle,Very severe obstacle,Major obstacle,13,4,8,6,14,11,10,15,12,5,7,3,2,1,9,Corruption,13,4,8,6,14,11,10,15,12,5,7,3,2,1,9,7,7,4.0,,,,,,4.0,0,5,2,0,,,,,,,No,,,No part-time workers,4,1.0,One month or less,No,,,No,,No obstacle,No obstacle,200,200000.0,70,Cubic meters,,70000,18000000.0,0.0,,Don't know (spontaneous),,0,14,4,2025,11,57,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,Face to face only,No,No,City with population over 1 million,4761,Western,Small (5-19),Other Manufacturing,Panel,60.451088,68.62606,130.52612,28,0,0.0
1614129,46,Retail,Small,Central,Establishment,Other services,Central,20,No,Panel,English,21,3,2025,11,34,2024,12,31,36,19,,,,,,Sole proprietorship,,1.0,Fully domestically owned (private),0.0,0,0,No,,2000,8,2000,28.0,No,No,,No,,,,Yes,10.0,0.0,30.0,No Losses,,No,,No,,No,,,,It is suitable for all operational needs,No,,,0,0,,0.0,With no difficulty at all,"Repair of motor vehicles, computers, or household goods",80,80000000.0,Eighty million,40000000.0,forty million,,100,0,0,,,,,,,,,,10,90,No,,,,,,,,Yes,No,Tend to agree,Tend to agree,Tend to agree,We fixed it and took action to make sure it did not happen again,Yes,1-2 production performance indicators,Yes,Combination of short term and long term production targets,Possible to achieve without much effort,All managers and most production workers,No,,Promotions were based solely on performance and ability,Rarely or never,Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,Yes,0,Yes,1,Yes,"We introduced repairing damaged car bodies, which includes straightening dents and restoring paint. this service is different from the old approach where we could just focus on a few things and we move on.",No,,No,,,,,,,,,No,,,Strongly agree,No,,Yes,Yes,40,50,0,10,0,0,0,Yes,10000000.0,0.0,50.0,,40.0,,0.0,,10.0,,0.0,,0.0,,0.0,,Yes,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,Yes,50,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,70," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,No time spent,No,,,,,30,"Yes, partially","Yes, partially",No,,The establishment did not need to request a refund,No,,No,,2.0,,No,,,No,,,0.0,No obstacle,No obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,Does not apply,No obstacle,No obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,Major obstacle,No obstacle,13,6,9,15,10,12,11,1,2,14,3,5,7,4,8,Tax administration,13,6,9,15,10,12,11,1,2,14,3,5,7,4,8,20,5,15.0,,,,,,0.0,5,10,5,1,,,,,,No women employees trained,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,No obstacle,No obstacle,200,100000.0,2000,Cubic feet,,112000,15000000.0,4500000.0,,,,5,21,3,2025,13,3,Truthful,Are in some case taken from books and in some case estimates,One visit in face-to-face interview with one person,,,1,Face to face only,Yes,Yes,City with population over 1 million,4520,Central,Small (5-19),Retail,Panel,411.891,502.17648,969.79755,6,0,0.0
