l1,d2,b7,b2b,h1,c22b,c36,e6,b3a,l10,c39,k30
14.0,48000000.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
30.0,900000000.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
5.0,80000000.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
13.0,50000000.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
44.0,1000000000.0,30.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0
5.0,10000000.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0
20.0,1000000000.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
18.0,52000000.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
9.0,853200000.0,12.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0
6.0,26000000.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
32.0,2520000000.0,21.0,60.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0
15.0,170000000.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
14.0,72000000.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
5.0,80000000.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6.0,20200000.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
50.0,500000000.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
100.0,80000000.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
5.0,11000000.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
32.0,200000000.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
15.0,130000000.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0
450.0,80000000.0,23.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
15.0,10000000.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
180.0,80000000.0,9.0,30.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
8.0,85000000.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
8.0,17500000.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
82.0,15000000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
6.0,18000000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
12.0,700000000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
14.0,1000000000.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
110.0,80000000.0,15.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
200.0,450000000.0,30.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
36.0,110000000.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
42.0,1984000000.0,24.0,100.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0
8.0,40000000.0,21.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0
10.0,984500000.0,19.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
32.0,762500000.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
10.0,24000000.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
20.0,80000000.0,15.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
6.0,80000000.0,15.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
7.0,15000000.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
14.0,95000000.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
17.0,150000000.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
19.0,428000000.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
109.0,998000000.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0
7.0,25000000.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8.0,70000000.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0
15.0,1200000000.0,10.0,100.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
15.0,150000000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8.0,12000000.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
105.0,1000000000.0,20.0,100.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0
12.0,30700000.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
