l1,d2,b7,b2b,h1,c22b,c36,e6,b3a,l10,c39,k30,exporter
14.0,48000000.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
30.0,900000000.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1
5.0,80000000.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0
13.0,50000000.0,20.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0
44.0,1000000000.0,30.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,1
5.0,10000000.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,1
20.0,1000000000.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0
18.0,52000000.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0
9.0,853200000.0,12.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0
6.0,26000000.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0
32.0,2520000000.0,21.0,60.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,0
15.0,170000000.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
14.0,72000000.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0
5.0,80000000.0,12.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
6.0,20200000.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
50.0,500000000.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1
100.0,80000000.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0
5.0,11000000.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0
32.0,200000000.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0
15.0,130000000.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0
450.0,80000000.0,23.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
15.0,10000000.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0
180.0,80000000.0,9.0,30.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1
8.0,85000000.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
8.0,17500000.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1
82.0,15000000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0
6.0,18000000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0
12.0,700000000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0
14.0,1000000000.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0
110.0,80000000.0,15.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1
200.0,450000000.0,30.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
36.0,110000000.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0
42.0,1984000000.0,24.0,100.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0
8.0,40000000.0,21.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0
10.0,984500000.0,19.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0
32.0,762500000.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0
10.0,24000000.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0
20.0,80000000.0,15.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0
6.0,80000000.0,15.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0
7.0,15000000.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0
14.0,95000000.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
17.0,150000000.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0
19.0,428000000.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1
109.0,998000000.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0
7.0,25000000.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
8.0,70000000.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0
15.0,1200000000.0,10.0,100.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0
15.0,150000000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
8.0,12000000.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0
105.0,1000000000.0,20.0,100.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1
12.0,30700000.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0
15.0,150000000.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0
20.0,2000000000.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0
20.0,26050000.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0
8.0,80000000.0,22.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0
3.0,10000000.0,28.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0
10.0,28800000.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0
12.0,66000000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0
5.0,16000000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0
10.0,10000000.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0
22.0,889000000.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0
6.0,54000000.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
8.0,35600000.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
460.0,1700000000.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
12.0,42000000.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0
6.0,25000000.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
80.0,2000000000.0,7.0,70.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1
7.0,250000000.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0
30.0,300000000.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0
12.0,600000000.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0
12.0,80000000.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,0
8.0,50000000.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0
20.0,80000000.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0
20.0,1465000000.0,18.0,40.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0
5.0,18000000.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0
5.0,15000000.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0
12.0,50000000.0,27.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,0
50.0,18900000.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0
40.0,6423000000.0,25.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1
52.0,300000000.0,40.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0
10.0,64000000.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1
5.0,190000000.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
5.0,10800000.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0
9.0,90000000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
5.0,10000000.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0
4.0,136500000.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0
5.0,58000000.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0
7.0,80000000.0,7.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0
13.0,80000000.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0
20.0,80000000.0,24.0,100.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
5.0,43200000.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0
8.0,30000000.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0
12.0,96000000.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0
60.0,80000000.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1
5.0,42000000.0,20.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0
100.0,500000000.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0
40.0,6200000000.0,12.0,20.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0
5.0,36000000.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0
12.0,35000000.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0
6.0,20000000.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0
35.0,252000000.0,23.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0
96.0,1258000000.0,18.0,90.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,1
7.0,500000000.0,14.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,0
10.0,400000000.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,1
33.0,80000000.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
15.0,120000000.0,14.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
5.0,22000000.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0
6.0,13000000.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0
2.0,20000000.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
80.0,870000000.0,20.0,100.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0
200.0,10000000000.0,15.0,40.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
18.0,980000000.0,53.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0
9.0,400000000.0,10.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1
15.0,108000000.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0
