l1,d2,b7,b2b,h1,c22b,c36,e6,b3a,l10,c39,k30,exporter
126,200000000.0,19.0,0.0,1,1,0,1,1.0,1,0.0,0.0,0
156,50500000000.0,29.0,0.0,0,1,0,1,1.0,0,1.0,3.0,1
250,259000000000.0,20.0,100.0,0,1,0,0,0.0,1,0.0,1.0,1
20,20000000.0,20.0,0.0,0,1,0,1,0.0,1,0.0,1.0,0
6,26000000.0,27.0,0.0,0,0,0,0,1.0,0,0.0,4.0,0
12,500000000.0,20.0,0.0,1,1,0,0,1.0,0,0.0,1.0,1
15,19032000000.0,11.0,0.0,0,0,0,0,1.0,0,0.0,0.0,0
45,6000000000.0,10.0,0.0,0,1,0,0,0.0,1,0.0,3.0,1
6,57242000.0,35.0,0.0,0,1,0,1,1.0,1,0.0,3.0,0
40,150000000.0,15.0,0.0,0,1,1,1,0.0,1,1.0,0.0,0
10,50000000.0,30.0,0.0,0,0,0,0,1.0,0,0.0,0.0,0
25,830000000.0,5.0,0.0,0,1,0,0,1.0,0,0.0,0.0,0
4,129600000.0,10.0,0.0,0,0,1,0,1.0,0,1.0,1.0,0
7,100000000.0,9.0,0.0,0,0,0,0,1.0,0,0.0,0.0,0
10,72000000.0,27.0,0.0,1,1,1,0,1.0,1,1.0,2.0,0
17,90000000.0,18.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0
12,80000000.0,5.0,0.0,0,0,0,0,0.0,1,0.0,4.0,0
150,1000000000.0,20.0,0.0,1,1,0,1,1.0,1,0.0,0.0,0
17,1000000000.0,15.0,0.0,0,0,0,0,0.0,0,0.0,1.0,0
16,800000000.0,18.0,0.0,0,0,0,0,1.0,0,0.0,1.0,0
6,25000000.0,20.0,0.0,0,0,0,0,1.0,0,0.0,4.0,0
7,50000000.0,30.0,0.0,0,0,0,0,1.0,0,0.0,0.0,0
15,4000000000.0,15.0,0.0,0,0,0,0,1.0,0,0.0,0.0,0
6,181000000.0,7.0,0.0,0,0,0,0,1.0,0,0.0,2.0,0
6,20000000.0,35.0,0.0,0,1,0,0,1.0,1,0.0,4.0,0
8,1200000000.0,20.0,0.0,0,0,0,0,1.0,0,0.0,2.0,0
5,438000000.0,16.0,0.0,0,0,0,0,0.0,0,0.0,4.0,0
3,100000000.0,20.0,0.0,0,0,0,0,1.0,0,0.0,0.0,0
11,295300000.0,26.0,0.0,0,0,0,0,1.0,0,0.0,0.0,0
16,120000000.0,10.0,0.0,0,1,0,0,1.0,0,0.0,1.0,0
13,444000000.0,10.0,0.0,1,0,0,0,1.0,0,0.0,3.0,0
5,18000000.0,13.0,0.0,0,0,0,0,1.0,0,0.0,0.0,0
30,15000000000.0,25.0,0.0,0,1,1,0,1.0,1,1.0,3.0,0
9,80000000.0,14.0,0.0,1,0,0,0,1.0,0,0.0,1.0,0
17,325000000.0,18.0,0.0,0,1,0,0,1.0,1,0.0,0.0,0
2,55000000.0,16.0,0.0,0,0,0,1,1.0,0,0.0,2.0,0
8,60000000.0,5.0,0.0,0,1,0,0,1.0,1,0.0,3.0,0
6,720000000.0,35.0,0.0,0,1,0,0,1.0,1,0.0,2.0,0
200,9600000000.0,15.0,0.0,0,1,0,1,1.0,0,0.0,0.0,1
50,34600000000.0,30.0,0.0,0,1,1,1,0.0,0,0.0,2.0,1
5,150000000.0,30.0,0.0,0,1,0,0,1.0,0,0.0,3.0,0
5,162000000.0,16.0,0.0,1,0,1,0,1.0,0,1.0,2.0,0
400,150000000000.0,15.0,0.0,1,1,1,0,0.0,1,1.0,1.0,1
85,2400000000.0,5.0,0.0,0,1,1,0,1.0,1,1.0,1.0,0
2,30000000.0,43.0,0.0,0,0,0,0,1.0,0,0.0,2.0,0
6,72500000.0,20.0,0.0,0,0,0,0,1.0,1,1.0,1.0,0
15,200000000.0,20.0,0.0,0,1,0,0,1.0,0,0.0,0.0,0
30,2500000000.0,30.0,0.0,1,1,1,1,1.0,1,1.0,2.0,0
6,38000000.0,16.0,0.0,0,0,0,0,1.0,0,0.0,1.0,0
4,34000000.0,10.0,0.0,0,0,0,0,1.0,0,1.0,3.0,0
52,5400000000.0,30.0,0.0,1,1,1,1,0.0,1,0.0,2.0,1
3,150000000.0,15.0,0.0,0,0,0,0,1.0,0,0.0,1.0,0
20,400000000.0,25.0,0.0,0,0,0,1,1.0,0,0.0,1.0,1
22,1000000000.0,20.0,0.0,0,0,0,0,1.0,0,0.0,0.0,0
6,85000000.0,15.0,0.0,0,0,1,0,1.0,0,0.0,4.0,0
50,3000000000.0,20.0,0.0,0,0,0,0,1.0,0,1.0,1.0,0
10,50000000.0,30.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0
3,150000000.0,23.0,0.0,0,0,0,0,1.0,0,0.0,3.0,0
28,10000000000.0,35.0,0.0,0,0,0,0,0.0,1,0.0,0.0,1
146,10000000000.0,13.0,100.0,0,1,0,0,1.0,0,0.0,2.0,0
1,20000000.0,10.0,0.0,0,1,0,0,1.0,0,0.0,4.0,0
80,2400000000.0,20.0,0.0,0,1,0,0,0.0,0,1.0,1.0,0
16,160000000.0,35.0,0.0,0,0,0,0,1.0,0,0.0,3.0,0
5,180000000.0,5.0,0.0,1,0,1,0,1.0,0,0.0,1.0,0
10,40000000.0,14.0,0.0,0,0,0,0,1.0,0,0.0,1.0,0
3,18050000.0,19.0,0.0,0,0,0,0,1.0,0,0.0,2.0,0
10,215000000.0,5.0,0.0,0,1,0,0,1.0,1,0.0,0.0,0
10,270000000.0,3.0,0.0,0,0,0,0,1.0,0,0.0,3.0,0
5,350000000.0,12.0,0.0,0,1,0,1,1.0,0,0.0,2.0,0
140,150000000.0,20.0,0.0,1,1,1,1,0.0,1,1.0,4.0,0
8,18000000.0,5.0,0.0,1,0,0,0,1.0,0,0.0,2.0,0
6,10000000.0,20.0,0.0,0,1,0,0,1.0,0,0.0,0.0,0
2000,6000000000000.0,42.0,0.0,1,1,1,1,1.0,1,1.0,2.0,1
11,4200000000.0,20.0,100.0,0,1,1,1,0.0,1,1.0,0.0,0
5,14200000.0,40.0,0.0,0,0,0,0,1.0,0,0.0,3.0,0
7,32000000.0,10.0,0.0,0,0,0,0,1.0,0,0.0,3.0,0
4,150000000.0,12.0,0.0,1,0,0,0,1.0,0,0.0,2.0,0
8,35000000.0,13.0,0.0,0,0,0,0,1.0,0,0.0,0.0,0
5,20000000.0,16.0,0.0,0,1,0,0,1.0,0,0.0,2.0,0
27,540000000.0,12.0,0.0,0,0,0,0,1.0,1,1.0,0.0,0
7,100000000.0,25.0,0.0,0,0,1,0,1.0,0,1.0,3.0,0
3,66440000.0,8.0,0.0,0,0,0,0,1.0,0,0.0,2.0,0
5,150000000.0,8.0,0.0,0,0,0,0,1.0,0,1.0,0.0,0
8,30000000.0,14.0,0.0,0,0,0,0,1.0,0,0.0,1.0,0
262,21000000000.0,10.0,100.0,1,1,1,0,1.0,1,1.0,1.0,1
6,250000000.0,5.0,0.0,1,1,0,0,1.0,0,0.0,1.0,0
5,20000000.0,10.0,0.0,1,0,0,0,1.0,0,0.0,1.0,0
35,300000000.0,40.0,0.0,0,0,0,0,1.0,0,0.0,0.0,0
7,260000000.0,20.0,0.0,0,0,0,0,1.0,1,0.0,1.0,0
1,96000000.0,7.0,0.0,0,0,0,0,1.0,0,0.0,3.0,0
64,800000000.0,10.0,0.0,1,1,0,1,0.0,1,1.0,1.0,1
7,75600000.0,15.0,0.0,0,0,0,0,1.0,0,0.0,3.0,0
7,600000000.0,22.0,0.0,1,0,0,0,1.0,0,0.0,3.0,0
5,36000000.0,40.0,0.0,0,0,0,0,1.0,0,0.0,3.0,0
5,21000000.0,19.0,0.0,0,0,0,0,1.0,0,0.0,3.0,0
85,2000000000.0,30.0,0.0,1,1,0,0,1.0,0,0.0,0.0,1
4,39297000.0,10.0,0.0,1,0,0,0,1.0,0,0.0,1.0,0
5,52400000.0,28.0,0.0,0,0,0,1,1.0,0,0.0,3.0,0
350,12000000000.0,37.0,40.0,0,1,0,1,0.0,1,0.0,1.0,0
15,3000000000.0,15.0,0.0,0,0,0,0,1.0,0,0.0,0.0,0
4,50330000.0,17.0,0.0,0,0,0,0,1.0,0,0.0,1.0,0
5,13000000.0,10.0,0.0,0,0,0,0,1.0,0,0.0,3.0,0
10,875000000.0,12.0,0.0,0,0,0,0,0.0,0,0.0,4.0,0
5,45000000.0,40.0,0.0,1,1,1,1,1.0,1,1.0,2.0,1
100,15000000000.0,30.0,0.0,0,1,0,0,0.0,0,0.0,0.0,0
180,700000000.0,25.0,0.0,0,0,0,0,1.0,0,0.0,1.0,0
120,1500000000.0,25.0,0.0,0,1,0,0,1.0,1,0.0,2.0,0
15,450000000.0,13.0,0.0,0,0,0,0,0.0,0,0.0,0.0,0
5,360000000.0,25.0,0.0,0,0,0,0,1.0,0,0.0,3.0,0
8,56000000.0,20.0,0.0,1,1,1,0,1.0,0,0.0,1.0,0
45,47000000000.0,23.0,0.0,0,1,1,0,0.0,1,1.0,2.0,0
3,27570000.0,5.0,0.0,0,0,0,0,1.0,0,0.0,3.0,0
25,100000000.0,15.0,0.0,0,1,0,0,0.0,0,0.0,1.0,0
14,50000000.0,20.0,0.0,0,0,1,0,1.0,0,1.0,3.0,0
50,25712902569.0,10.0,49.0,1,1,1,0,1.0,1,1.0,3.0,0
4,600000000.0,40.0,0.0,0,0,1,0,1.0,0,0.0,1.0,0
8,40000000.0,20.0,0.0,1,0,0,0,1.0,0,0.0,2.0,0
3,18000000.0,10.0,0.0,0,0,0,0,1.0,0,0.0,4.0,0
12,120000000.0,11.0,0.0,0,0,0,0,1.0,0,0.0,3.0,0
6,48000000000.0,25.0,0.0,0,0,0,0,1.0,1,0.0,4.0,0
8,30000000.0,15.0,0.0,0,0,0,0,1.0,0,0.0,1.0,0
4,34800000.0,18.0,0.0,0,0,0,0,1.0,0,0.0,2.0,0
4,18000000.0,3.0,0.0,0,0,0,0,0.0,0,0.0,3.0,0
5,85000000.0,4.0,0.0,0,1,0,0,1.0,0,0.0,2.0,0
7,100000000.0,5.0,0.0,0,1,0,0,0.0,1,0.0,0.0,0
120,4000000000.0,15.0,0.0,1,1,0,0,1.0,1,1.0,3.0,1
16,150000000.0,5.0,0.0,0,0,0,0,0.0,0,0.0,1.0,0
2,24000000.0,10.0,0.0,0,1,0,0,1.0,0,1.0,3.0,0
5,180000000.0,4.0,0.0,0,0,1,0,1.0,0,0.0,0.0,0
3,14000000.0,9.0,0.0,1,0,0,0,1.0,0,0.0,3.0,0
15,200000000.0,20.0,0.0,0,1,0,1,1.0,1,1.0,0.0,0
