Country,Variable,Total,Missing,Missing_%
Kenya,exporter,1024,0,0.0
Kenya,l1,1024,0,0.0
Kenya,d2,1024,0,0.0
Kenya,b7,1024,3,0.29
Kenya,b2b,1024,0,0.0
Kenya,h1,1024,1,0.1
Kenya,c22b,1024,0,0.0
Kenya,c36,1024,0,0.0
Kenya,e6,1024,1,0.1
Kenya,b3a,1024,0,0.0
Kenya,l10,1024,0,0.0
Kenya,c39,1024,0,0.0
Kenya,k30,1024,0,0.0
Tanzania,exporter,600,10,1.67
Tanzania,l1,600,1,0.17
Tanzania,d2,600,87,14.5
Tanzania,b7,600,29,4.83
Tanzania,b2b,600,3,0.5
Tanzania,h1,600,1,0.17
Tanzania,c22b,600,1,0.17
Tanzania,c36,600,2,0.33
Tanzania,e6,600,9,1.5
Tanzania,b3a,600,4,0.67
Tanzania,l10,600,1,0.17
Tanzania,c39,600,4,0.67
Tanzania,k30,600,1,0.17
Uganda,exporter,605,0,0.0
Uganda,l1,605,0,0.0
Uganda,d2,605,46,7.6
Uganda,b7,605,22,3.64
Uganda,b2b,605,1,0.17
Uganda,h1,605,0,0.0
Uganda,c22b,605,0,0.0
Uganda,c36,605,0,0.0
Uganda,e6,605,0,0.0
Uganda,b3a,605,2,0.33
Uganda,l10,605,0,0.0
Uganda,c39,605,1,0.17
Uganda,k30,605,3,0.5
