l1,d2,b7,b2b,h1,c22b,c36,e6,b3a,l10,c39,k30
22,112000000.0,15.0,0,1.0,1,1,1.0,1,0,1,2
800,4000000000.0,40.0,20,0.0,1,0,0.0,0,0,1,4
5,20000000.0,3.0,0,0.0,1,0,0.0,1,0,1,0
100,700000000.0,15.0,0,0.0,1,0,1.0,1,0,1,3
14,2000000.0,12.0,0,1.0,0,0,0.0,1,0,0,3
6,3240000.0,10.0,0,0.0,1,1,0.0,1,0,0,1
56,534000000.0,15.0,0,1.0,1,0,0.0,1,0,0,0
21,15000000.0,13.0,0,1.0,1,1,0.0,1,0,1,1
15,90000000.0,40.0,0,1.0,0,0,0.0,1,1,0,1
13,150000000.0,19.0,0,0.0,1,1,0.0,0,0,0,2
34,30000000.0,14.0,0,0.0,1,0,0.0,0,1,0,0
85,924000000.0,30.0,0,1.0,1,0,0.0,1,0,1,2
70,300000000.0,50.0,0,0.0,1,0,0.0,0,0,1,0
20,12400000.0,16.0,0,0.0,1,1,0.0,1,1,0,1
15,180000000.0,10.0,100,0.0,1,0,0.0,0,0,1,0
17,10200000.0,20.0,0,0.0,0,0,0.0,1,0,0,2
1000,1000000000.0,25.0,50,0.0,1,0,1.0,1,0,0,1
65,75000000.0,5.0,0,0.0,1,0,0.0,1,1,1,3
6,4000000.0,10.0,0,0.0,0,1,0.0,1,0,1,3
5,40000000.0,10.0,0,0.0,1,1,0.0,1,0,1,4
8,10000000.0,20.0,0,0.0,1,0,0.0,1,1,1,4
6,28000000.0,15.0,0,0.0,0,0,0.0,1,0,0,1
425,6000000000.0,38.0,0,0.0,1,0,1.0,1,1,0,0
35,900000000.0,10.0,0,0.0,1,0,0.0,1,0,1,2
15,90000000.0,30.0,0,0.0,1,0,0.0,1,0,0,2
13,13000000.0,22.0,0,0.0,1,0,0.0,0,0,1,2
180,360000000.0,25.0,0,1.0,1,0,0.0,1,1,1,0
3,160087540.0,25.0,0,1.0,1,1,0.0,1,1,1,1
3,12000000.0,7.0,0,1.0,1,1,1.0,1,0,1,2
10,15900000.0,36.0,80,1.0,1,0,0.0,1,0,1,1
120,50000000.0,30.0,0,0.0,0,0,0.0,1,0,1,3
90,120000000.0,10.0,0,0.0,1,0,0.0,0,1,1,1
8,4500000.0,25.0,0,1.0,0,1,0.0,1,1,1,1
80,300000000.0,12.0,0,1.0,1,0,1.0,1,1,0,1
48,540000000.0,20.0,0,1.0,1,0,0.0,0,1,1,2
20,32000000.0,27.0,100,0.0,1,0,0.0,1,0,1,4
4,20000000.0,20.0,0,1.0,1,0,0.0,1,0,0,1
253,210000000.0,17.0,0,0.0,1,0,0.0,1,1,1,2
10,30500000.0,10.0,0,0.0,0,0,0.0,1,0,1,0
5,15000000.0,15.0,0,0.0,1,0,0.0,1,0,1,4
7,108000000.0,15.0,0,0.0,0,0,0.0,0,0,0,1
5,3000000.0,10.0,0,0.0,0,0,0.0,1,0,1,1
37,500000000.0,18.0,0,0.0,1,0,0.0,1,0,1,2
6,6480000.0,10.0,0,0.0,1,1,0.0,0,1,0,1
30,960000000.0,32.0,0,1.0,1,0,0.0,1,0,0,1
700,2000000000.0,20.0,0,0.0,1,0,0.0,1,0,1,1
31,500000000.0,20.0,0,0.0,1,0,0.0,0,0,1,0
3,10000000.0,25.0,0,1.0,1,0,0.0,1,0,0,2
53,100000000.0,30.0,0,0.0,1,0,1.0,1,0,0,0
30,13358080.0,29.0,0,0.0,1,0,0.0,1,0,1,1
54,29160000.0,8.0,0,0.0,1,1,0.0,0,0,0,1
40,850000000.0,33.0,0,1.0,1,1,0.0,1,1,1,3
8,36000000.0,31.0,0,0.0,0,0,0.0,1,0,0,3
21,41000000.0,15.0,0,0.0,1,1,0.0,1,0,1,2
12,50000000.0,25.0,0,0.0,0,0,0.0,1,0,1,2
32,30240000.0,10.0,0,0.0,1,1,0.0,0,1,0,0
11,27000000.0,37.0,0,0.0,1,0,0.0,1,0,0,0
50,200000000.0,18.0,0,0.0,1,0,0.0,1,0,1,4
13,6000000.0,15.0,0,0.0,1,0,0.0,1,0,1,4
15,60000000.0,5.0,0,1.0,1,0,0.0,1,1,1,2
5,8000000.0,10.0,0,1.0,1,1,0.0,1,0,0,3
5,55000000.0,29.0,0,0.0,1,0,0.0,1,0,0,4
6,10000000.0,10.0,0,0.0,1,0,0.0,1,0,0,2
7,5000000.0,26.0,0,0.0,1,0,0.0,1,0,1,4
13,10200000.0,30.0,0,0.0,0,0,0.0,0,0,0,2
21,11340000.0,8.0,0,0.0,1,0,0.0,0,1,0,0
2,37000000.0,41.0,0,0.0,0,0,0.0,1,0,0,3
200,4000000000.0,15.0,0,1.0,0,1,0.0,1,0,0,2
