l1,d2,b7,b2b,h1,c22b,c36,e6,b3a,l10,c39,k30
126,200000000.0,19.0,0.0,1,1,0,1,1.0,1,0.0,0.0
156,50500000000.0,29.0,0.0,0,1,0,1,1.0,0,1.0,3.0
250,259000000000.0,20.0,100.0,0,1,0,0,0.0,1,0.0,1.0
20,20000000.0,20.0,0.0,0,1,0,1,0.0,1,0.0,1.0
6,26000000.0,27.0,0.0,0,0,0,0,1.0,0,0.0,4.0
12,500000000.0,20.0,0.0,1,1,0,0,1.0,0,0.0,1.0
15,19032000000.0,11.0,0.0,0,0,0,0,1.0,0,0.0,0.0
45,6000000000.0,10.0,0.0,0,1,0,0,0.0,1,0.0,3.0
6,57242000.0,35.0,0.0,0,1,0,1,1.0,1,0.0,3.0
40,150000000.0,15.0,0.0,0,1,1,1,0.0,1,1.0,0.0
10,50000000.0,30.0,0.0,0,0,0,0,1.0,0,0.0,0.0
25,830000000.0,5.0,0.0,0,1,0,0,1.0,0,0.0,0.0
4,129600000.0,10.0,0.0,0,0,1,0,1.0,0,1.0,1.0
7,100000000.0,9.0,0.0,0,0,0,0,1.0,0,0.0,0.0
10,72000000.0,27.0,0.0,1,1,1,0,1.0,1,1.0,2.0
17,90000000.0,18.0,0.0,0,0,0,0,0.0,0,0.0,0.0
12,80000000.0,5.0,0.0,0,0,0,0,0.0,1,0.0,4.0
150,1000000000.0,20.0,0.0,1,1,0,1,1.0,1,0.0,0.0
17,1000000000.0,15.0,0.0,0,0,0,0,0.0,0,0.0,1.0
16,800000000.0,18.0,0.0,0,0,0,0,1.0,0,0.0,1.0
6,25000000.0,20.0,0.0,0,0,0,0,1.0,0,0.0,4.0
7,50000000.0,30.0,0.0,0,0,0,0,1.0,0,0.0,0.0
15,4000000000.0,15.0,0.0,0,0,0,0,1.0,0,0.0,0.0
6,181000000.0,7.0,0.0,0,0,0,0,1.0,0,0.0,2.0
6,20000000.0,35.0,0.0,0,1,0,0,1.0,1,0.0,4.0
8,1200000000.0,20.0,0.0,0,0,0,0,1.0,0,0.0,2.0
5,438000000.0,16.0,0.0,0,0,0,0,0.0,0,0.0,4.0
3,100000000.0,20.0,0.0,0,0,0,0,1.0,0,0.0,0.0
11,295300000.0,26.0,0.0,0,0,0,0,1.0,0,0.0,0.0
16,120000000.0,10.0,0.0,0,1,0,0,1.0,0,0.0,1.0
13,444000000.0,10.0,0.0,1,0,0,0,1.0,0,0.0,3.0
5,18000000.0,13.0,0.0,0,0,0,0,1.0,0,0.0,0.0
30,15000000000.0,25.0,0.0,0,1,1,0,1.0,1,1.0,3.0
9,80000000.0,14.0,0.0,1,0,0,0,1.0,0,0.0,1.0
17,325000000.0,18.0,0.0,0,1,0,0,1.0,1,0.0,0.0
2,55000000.0,16.0,0.0,0,0,0,1,1.0,0,0.0,2.0
8,60000000.0,5.0,0.0,0,1,0,0,1.0,1,0.0,3.0
6,720000000.0,35.0,0.0,0,1,0,0,1.0,1,0.0,2.0
200,9600000000.0,15.0,0.0,0,1,0,1,1.0,0,0.0,0.0
50,34600000000.0,30.0,0.0,0,1,1,1,0.0,0,0.0,2.0
5,150000000.0,30.0,0.0,0,1,0,0,1.0,0,0.0,3.0
5,162000000.0,16.0,0.0,1,0,1,0,1.0,0,1.0,2.0
400,150000000000.0,15.0,0.0,1,1,1,0,0.0,1,1.0,1.0
85,2400000000.0,5.0,0.0,0,1,1,0,1.0,1,1.0,1.0
2,30000000.0,43.0,0.0,0,0,0,0,1.0,0,0.0,2.0
6,72500000.0,20.0,0.0,0,0,0,0,1.0,1,1.0,1.0
15,200000000.0,20.0,0.0,0,1,0,0,1.0,0,0.0,0.0
30,2500000000.0,30.0,0.0,1,1,1,1,1.0,1,1.0,2.0
6,38000000.0,16.0,0.0,0,0,0,0,1.0,0,0.0,1.0
4,34000000.0,10.0,0.0,0,0,0,0,1.0,0,1.0,3.0
52,5400000000.0,30.0,0.0,1,1,1,1,0.0,1,0.0,2.0
3,150000000.0,15.0,0.0,0,0,0,0,1.0,0,0.0,1.0
20,400000000.0,25.0,0.0,0,0,0,1,1.0,0,0.0,1.0
22,1000000000.0,20.0,0.0,0,0,0,0,1.0,0,0.0,0.0
6,85000000.0,15.0,0.0,0,0,1,0,1.0,0,0.0,4.0
50,3000000000.0,20.0,0.0,0,0,0,0,1.0,0,1.0,1.0
10,50000000.0,30.0,0.0,0,0,0,0,0.0,0,0.0,0.0
3,150000000.0,23.0,0.0,0,0,0,0,1.0,0,0.0,3.0
28,10000000000.0,35.0,0.0,0,0,0,0,0.0,1,0.0,0.0
146,10000000000.0,13.0,100.0,0,1,0,0,1.0,0,0.0,2.0
1,20000000.0,10.0,0.0,0,1,0,0,1.0,0,0.0,4.0
80,2400000000.0,20.0,0.0,0,1,0,0,0.0,0,1.0,1.0
16,160000000.0,35.0,0.0,0,0,0,0,1.0,0,0.0,3.0
5,180000000.0,5.0,0.0,1,0,1,0,1.0,0,0.0,1.0
10,40000000.0,14.0,0.0,0,0,0,0,1.0,0,0.0,1.0
3,18050000.0,19.0,0.0,0,0,0,0,1.0,0,0.0,2.0
10,215000000.0,5.0,0.0,0,1,0,0,1.0,1,0.0,0.0
10,270000000.0,3.0,0.0,0,0,0,0,1.0,0,0.0,3.0
5,350000000.0,12.0,0.0,0,1,0,1,1.0,0,0.0,2.0
140,150000000.0,20.0,0.0,1,1,1,1,0.0,1,1.0,4.0
8,18000000.0,5.0,0.0,1,0,0,0,1.0,0,0.0,2.0
6,10000000.0,20.0,0.0,0,1,0,0,1.0,0,0.0,0.0
2000,6000000000000.0,42.0,0.0,1,1,1,1,1.0,1,1.0,2.0
11,4200000000.0,20.0,100.0,0,1,1,1,0.0,1,1.0,0.0
5,14200000.0,40.0,0.0,0,0,0,0,1.0,0,0.0,3.0
7,32000000.0,10.0,0.0,0,0,0,0,1.0,0,0.0,3.0
4,150000000.0,12.0,0.0,1,0,0,0,1.0,0,0.0,2.0
8,35000000.0,13.0,0.0,0,0,0,0,1.0,0,0.0,0.0
5,20000000.0,16.0,0.0,0,1,0,0,1.0,0,0.0,2.0
27,540000000.0,12.0,0.0,0,0,0,0,1.0,1,1.0,0.0
7,100000000.0,25.0,0.0,0,0,1,0,1.0,0,1.0,3.0
3,66440000.0,8.0,0.0,0,0,0,0,1.0,0,0.0,2.0
5,150000000.0,8.0,0.0,0,0,0,0,1.0,0,1.0,0.0
8,30000000.0,14.0,0.0,0,0,0,0,1.0,0,0.0,1.0
262,21000000000.0,10.0,100.0,1,1,1,0,1.0,1,1.0,1.0
6,250000000.0,5.0,0.0,1,1,0,0,1.0,0,0.0,1.0
5,20000000.0,10.0,0.0,1,0,0,0,1.0,0,0.0,1.0
35,300000000.0,40.0,0.0,0,0,0,0,1.0,0,0.0,0.0
7,260000000.0,20.0,0.0,0,0,0,0,1.0,1,0.0,1.0
1,96000000.0,7.0,0.0,0,0,0,0,1.0,0,0.0,3.0
64,800000000.0,10.0,0.0,1,1,0,1,0.0,1,1.0,1.0
7,75600000.0,15.0,0.0,0,0,0,0,1.0,0,0.0,3.0
7,600000000.0,22.0,0.0,1,0,0,0,1.0,0,0.0,3.0
5,36000000.0,40.0,0.0,0,0,0,0,1.0,0,0.0,3.0
5,21000000.0,19.0,0.0,0,0,0,0,1.0,0,0.0,3.0
85,2000000000.0,30.0,0.0,1,1,0,0,1.0,0,0.0,0.0
4,39297000.0,10.0,0.0,1,0,0,0,1.0,0,0.0,1.0
5,52400000.0,28.0,0.0,0,0,0,1,1.0,0,0.0,3.0
350,12000000000.0,37.0,40.0,0,1,0,1,0.0,1,0.0,1.0
15,3000000000.0,15.0,0.0,0,0,0,0,1.0,0,0.0,0.0
4,50330000.0,17.0,0.0,0,0,0,0,1.0,0,0.0,1.0
5,13000000.0,10.0,0.0,0,0,0,0,1.0,0,0.0,3.0
10,875000000.0,12.0,0.0,0,0,0,0,0.0,0,0.0,4.0
5,45000000.0,40.0,0.0,1,1,1,1,1.0,1,1.0,2.0
100,15000000000.0,30.0,0.0,0,1,0,0,0.0,0,0.0,0.0
180,700000000.0,25.0,0.0,0,0,0,0,1.0,0,0.0,1.0
120,1500000000.0,25.0,0.0,0,1,0,0,1.0,1,0.0,2.0
15,450000000.0,13.0,0.0,0,0,0,0,0.0,0,0.0,0.0
5,360000000.0,25.0,0.0,0,0,0,0,1.0,0,0.0,3.0
8,56000000.0,20.0,0.0,1,1,1,0,1.0,0,0.0,1.0
45,47000000000.0,23.0,0.0,0,1,1,0,0.0,1,1.0,2.0
3,27570000.0,5.0,0.0,0,0,0,0,1.0,0,0.0,3.0
25,100000000.0,15.0,0.0,0,1,0,0,0.0,0,0.0,1.0
14,50000000.0,20.0,0.0,0,0,1,0,1.0,0,1.0,3.0
50,25712902569.0,10.0,49.0,1,1,1,0,1.0,1,1.0,3.0
4,600000000.0,40.0,0.0,0,0,1,0,1.0,0,0.0,1.0
8,40000000.0,20.0,0.0,1,0,0,0,1.0,0,0.0,2.0
3,18000000.0,10.0,0.0,0,0,0,0,1.0,0,0.0,4.0
12,120000000.0,11.0,0.0,0,0,0,0,1.0,0,0.0,3.0
6,48000000000.0,25.0,0.0,0,0,0,0,1.0,1,0.0,4.0
8,30000000.0,15.0,0.0,0,0,0,0,1.0,0,0.0,1.0
4,34800000.0,18.0,0.0,0,0,0,0,1.0,0,0.0,2.0
4,18000000.0,3.0,0.0,0,0,0,0,0.0,0,0.0,3.0
5,85000000.0,4.0,0.0,0,1,0,0,1.0,0,0.0,2.0
7,100000000.0,5.0,0.0,0,1,0,0,0.0,1,0.0,0.0
120,4000000000.0,15.0,0.0,1,1,0,0,1.0,1,1.0,3.0
16,150000000.0,5.0,0.0,0,0,0,0,0.0,0,0.0,1.0
2,24000000.0,10.0,0.0,0,1,0,0,1.0,0,1.0,3.0
5,180000000.0,4.0,0.0,0,0,1,0,1.0,0,0.0,0.0
3,14000000.0,9.0,0.0,1,0,0,0,1.0,0,0.0,3.0
15,200000000.0,20.0,0.0,0,1,0,1,1.0,1,1.0,0.0
15,80000000.0,20.0,0.0,0,1,0,0,1.0,0,0.0,0.0
5,18000000.0,20.0,0.0,0,0,0,0,1.0,0,0.0,4.0
5,150000000.0,39.0,0.0,1,1,0,0,1.0,0,0.0,3.0
5,45000000.0,10.0,0.0,0,0,0,0,1.0,0,0.0,1.0
25,130000000000.0,8.0,100.0,1,1,1,1,1.0,0,1.0,1.0
5,24000000.0,8.0,0.0,0,0,0,0,1.0,0,0.0,3.0
15,300000000.0,20.0,0.0,0,0,0,0,0.0,0,0.0,1.0
7,200000000.0,15.0,0.0,0,1,0,1,1.0,0,0.0,0.0
8,30000000.0,20.0,0.0,0,0,0,0,1.0,0,0.0,1.0
115,2115600000.0,35.0,0.0,1,1,0,1,0.0,1,0.0,3.0
20,100000000.0,17.0,0.0,0,0,0,0,0.0,1,0.0,2.0
25,150000000.0,20.0,0.0,0,0,0,0,1.0,0,0.0,2.0
9,35000000.0,15.0,0.0,0,0,0,0,1.0,0,0.0,1.0
50,600000000.0,5.0,0.0,1,0,0,0,1.0,0,0.0,3.0
350,10000000000.0,35.0,45.0,0,0,0,0,0.0,1,1.0,4.0
15,300000000.0,15.0,0.0,0,0,0,0,1.0,0,0.0,0.0
14,55000000.0,13.0,0.0,0,0,0,0,0.0,0,0.0,1.0
131,89770000000.0,25.0,100.0,0,1,1,1,1.0,0,1.0,4.0
50,3000000000.0,10.0,0.0,0,1,0,0,1.0,0,1.0,1.0
10,150000000.0,30.0,100.0,0,1,1,1,1.0,0,1.0,0.0
5,250000000.0,15.0,0.0,0,0,0,0,0.0,0,0.0,2.0
20,365000000.0,15.0,0.0,0,0,0,0,1.0,0,0.0,1.0
15,150000000.0,25.0,0.0,0,0,0,0,1.0,1,0.0,1.0
6,80000000.0,16.0,0.0,0,1,0,0,1.0,1,0.0,3.0
6,219000000.0,12.0,0.0,0,0,0,0,0.0,0,0.0,4.0
26,1000000000.0,8.0,60.0,0,0,0,0,0.0,0,0.0,0.0
5,24000000.0,4.0,0.0,0,0,0,0,1.0,0,0.0,1.0
10,1000000000.0,15.0,100.0,0,0,0,1,1.0,1,0.0,0.0
3,35780000.0,16.0,0.0,0,0,0,0,1.0,0,0.0,2.0
4,11260000.0,7.0,0.0,1,0,0,0,1.0,0,0.0,1.0
340,150000000.0,7.0,0.0,1,1,1,1,0.0,1,1.0,1.0
20,200000000.0,9.0,0.0,0,1,1,0,0.0,1,1.0,3.0
40,800000000.0,16.0,0.0,1,1,0,1,1.0,0,1.0,0.0
10,180000000.0,31.0,0.0,0,0,1,0,1.0,1,1.0,0.0
40,43953385000.0,30.0,0.0,1,1,1,1,1.0,1,1.0,0.0
4,41210000.0,14.0,0.0,0,0,0,0,1.0,0,0.0,1.0
7,26200000.0,33.0,0.0,0,0,0,0,1.0,0,0.0,3.0
24,650000000.0,16.0,100.0,0,1,0,0,0.0,0,0.0,1.0
12,70000000.0,15.0,0.0,0,0,0,0,1.0,0,0.0,0.0
8,30000000.0,23.0,0.0,0,0,0,0,1.0,0,0.0,1.0
53,750000000.0,50.0,0.0,1,1,1,0,1.0,1,1.0,2.0
6,30000000.0,10.0,0.0,1,0,0,0,1.0,0,0.0,3.0
6,500000000.0,10.0,0.0,1,1,0,0,1.0,0,0.0,0.0
15,547500000.0,5.0,0.0,0,0,0,0,1.0,0,0.0,3.0
8,65000000.0,16.0,0.0,0,0,0,0,1.0,0,0.0,1.0
2,14000000.0,10.0,0.0,0,0,0,0,1.0,0,0.0,4.0
150,6000000000.0,16.0,0.0,1,1,1,1,0.0,1,1.0,1.0
5,45000000.0,8.0,0.0,1,0,0,0,1.0,0,0.0,1.0
1,55000000.0,35.0,0.0,0,0,0,0,1.0,1,0.0,3.0
10,200000000.0,15.0,0.0,0,0,0,0,1.0,0,0.0,0.0
25,1000000000.0,13.0,0.0,1,0,0,0,1.0,0,0.0,2.0
120,11000000000.0,20.0,90.0,1,1,1,1,0.0,0,1.0,1.0
10,9000000000.0,20.0,0.0,1,1,1,1,1.0,1,1.0,1.0
8,48000000.0,13.0,0.0,0,0,0,0,0.0,0,0.0,1.0
88,20000000000.0,25.0,0.0,0,1,0,0,0.0,0,0.0,0.0
9,490000000.0,2.0,100.0,0,1,0,0,1.0,1,1.0,0.0
6,28000000.0,20.0,0.0,0,0,0,0,1.0,0,0.0,2.0
6,80000000.0,12.0,0.0,0,0,1,0,1.0,0,0.0,1.0
45,250000000.0,20.0,0.0,0,1,0,1,1.0,1,1.0,3.0
5,62000000.0,20.0,0.0,0,0,0,0,1.0,0,0.0,1.0
26,1000000000.0,15.0,0.0,0,0,1,0,1.0,1,0.0,0.0
8,35000000.0,16.0,0.0,0,0,0,0,1.0,0,0.0,0.0
16,18000000000.0,30.0,0.0,0,1,0,0,1.0,0,0.0,0.0
5,200000000.0,20.0,0.0,0,0,0,0,1.0,1,1.0,1.0
17,4000000000.0,15.0,0.0,0,0,0,0,1.0,0,0.0,0.0
5,144000000.0,30.0,0.0,1,0,0,0,1.0,0,0.0,2.0
250,1200000000.0,24.0,60.0,0,1,0,1,0.0,1,0.0,3.0
8,780000000.0,11.0,100.0,1,1,1,0,1.0,1,0.0,0.0
3,67520000.0,23.0,0.0,0,0,0,0,1.0,0,0.0,0.0
4,61740000.0,16.0,0.0,0,0,0,0,1.0,0,0.0,0.0
6,7200000.0,18.0,0.0,0,0,0,0,1.0,0,0.0,3.0
7,150000000.0,3.0,0.0,1,0,0,0,1.0,1,0.0,1.0
100,15000000000.0,20.0,0.0,0,0,1,0,1.0,0,1.0,1.0
15,500000000.0,7.0,0.0,1,1,0,0,1.0,0,1.0,0.0
5,162000000.0,7.0,0.0,0,0,0,0,1.0,0,0.0,0.0
6,49600000.0,16.0,0.0,0,0,0,0,1.0,0,0.0,0.0
5,40000000.0,10.0,0.0,0,1,0,0,1.0,1,0.0,3.0
3,37210000.0,8.0,0.0,0,0,0,0,1.0,0,0.0,2.0
12,68000000.0,13.0,0.0,0,0,0,0,1.0,0,0.0,0.0
65,16000000000.0,28.0,20.0,0,1,1,1,1.0,1,1.0,0.0
180,85000000000.0,21.0,100.0,1,1,0,1,1.0,1,0.0,2.0
2,23000000.0,11.0,0.0,0,0,0,0,1.0,0,0.0,0.0
20,340000000.0,34.0,0.0,0,0,0,0,1.0,0,0.0,0.0
7,650000000.0,18.0,0.0,1,0,0,0,1.0,0,0.0,3.0
7,105000000.0,20.0,0.0,0,0,0,0,0.0,0,0.0,1.0
58,8000000000.0,28.0,0.0,0,0,0,0,1.0,0,0.0,1.0
20,1500000000.0,20.0,0.0,0,1,1,1,1.0,1,1.0,0.0
2000,150000000.0,22.0,100.0,1,1,0,1,0.0,1,1.0,0.0
8,50000000.0,20.0,40.0,0,0,0,0,0.0,0,0.0,2.0
4,2880000000.0,24.0,0.0,0,0,0,1,1.0,0,0.0,0.0
13,500000000.0,20.0,0.0,0,1,0,1,1.0,0,0.0,0.0
40,300000000.0,17.0,0.0,0,1,0,0,1.0,1,0.0,0.0
7,24000000.0,5.0,0.0,0,0,0,0,1.0,1,0.0,3.0
3,30000000.0,16.0,0.0,0,0,0,0,1.0,0,1.0,1.0
5,20000000.0,30.0,0.0,1,1,0,0,1.0,1,0.0,1.0
2,150000000.0,17.0,0.0,0,0,0,0,1.0,0,0.0,1.0
11,84000000.0,16.0,0.0,0,1,0,0,1.0,0,0.0,3.0
5,38000000.0,20.0,0.0,0,0,0,0,1.0,0,0.0,3.0
180,311849205000.0,30.0,0.0,0,1,0,1,0.0,1,1.0,0.0
6,15000000.0,20.0,0.0,0,0,0,0,1.0,0,0.0,4.0
6,10000000.0,21.0,0.0,1,1,0,0,1.0,0,1.0,3.0
120,43673000000.0,12.0,100.0,1,1,1,0,1.0,1,1.0,1.0
16,6007000000.0,12.0,100.0,1,0,0,0,0.0,1,1.0,1.0
10,650000000.0,18.0,0.0,0,0,0,0,0.0,0,0.0,4.0
22,200000000.0,11.0,70.0,0,0,0,0,1.0,1,0.0,2.0
45,36000000000.0,17.0,0.0,1,1,0,1,1.0,0,1.0,1.0
8,30000000.0,20.0,0.0,0,0,0,0,1.0,0,0.0,0.0
9,575000000.0,12.0,0.0,1,0,0,0,0.0,0,0.0,4.0
15,2165000000.0,4.0,0.0,1,1,1,0,1.0,1,1.0,0.0
3,6200000.0,5.0,0.0,1,0,0,0,1.0,0,0.0,0.0
7,50000000.0,30.0,0.0,0,0,0,0,1.0,0,0.0,1.0
52,25000000000.0,28.0,80.0,1,1,0,0,1.0,0,0.0,0.0
10,45000000.0,20.0,0.0,0,0,0,0,0.0,0,0.0,0.0
6,3600000000.0,15.0,0.0,1,1,1,0,1.0,0,0.0,3.0
6,45000000.0,5.0,0.0,0,0,0,0,0.0,1,0.0,1.0
80,400000000.0,4.0,0.0,0,0,0,0,0.0,0,0.0,1.0
8,30000000.0,20.0,0.0,1,0,0,0,1.0,1,0.0,1.0
23,600000000.0,5.0,0.0,1,1,0,0,1.0,1,0.0,1.0
9,2000000000.0,4.0,0.0,0,0,1,0,0.0,1,1.0,2.0
