row_index,fold
0,5
1,4
2,3
3,4
4,3
5,4
6,5
7,1
8,5
9,2
10,5
11,4
12,1
13,5
14,4
15,1
16,3
17,3
18,2
19,3
20,3
21,5
22,1
23,4
24,2
25,2
26,1
27,3
28,2
29,2
30,1
31,5
32,4
33,3
34,5
35,5
36,1
37,2
38,3
39,5
40,1
41,3
42,2
43,1
44,1
45,3
46,5
47,5
48,4
49,1
50,5
51,1
52,4
53,2
54,3
55,2
56,1
57,4
58,4
59,1
60,3
61,3
62,2
63,5
64,4
65,4
66,3
67,3
68,3
69,4
70,1
71,2
72,1
73,5
74,1
75,2
76,5
77,1
78,3
79,3
80,3
81,1
82,2
83,5
84,1
85,2
86,3
87,1
88,3
89,1
90,1
91,2
92,2
93,1
94,1
95,1
96,1
97,1
98,4
99,2
100,3
101,5
102,4
103,2
104,5
105,4
106,2
107,3
108,1
109,4
110,1
111,1
112,2
113,4
114,3
115,1
116,1
117,2
118,4
119,1
120,2
121,5
122,2
123,5
124,1
125,3
126,2
127,3
128,1
129,2
130,4
131,5
132,5
133,5
134,2
135,1
136,4
137,1
138,4
139,1
140,2
141,5
142,3
143,2
144,2
145,5
146,1
147,1
148,1
149,3
150,4
151,2
152,5
153,5
154,1
155,1
156,1
157,2
158,5
159,4
160,2
161,1
162,2
163,2
164,1
165,5
166,4
167,4
168,5
169,1
170,3
171,4
172,1
173,4
174,4
175,5
176,4
177,5
178,5
179,5
180,5
181,3
182,3
183,4
184,2
185,3
186,4
187,5
188,4
189,2
190,5
191,5
192,5
193,2
194,4
195,2
196,3
197,4
198,1
199,5
200,1
201,1
202,5
203,2
204,2
205,2
206,1
207,1
208,2
209,4
210,3
211,4
212,3
213,5
214,3
215,4
216,2
217,5
218,1
219,1
220,1
221,2
222,4
223,5
224,1
225,1
226,3
227,5
228,2
229,2
230,3
231,5
232,3
233,3
234,2
235,2
236,4
237,4
238,1
239,4
240,3
241,5
242,1
243,1
244,1
245,3
246,3
247,5
248,3
249,2
250,5
251,2
252,3
253,3
254,2
255,3
256,1
257,5
258,4
259,3
260,1
261,1
262,3
263,2
264,4
265,5
266,3
267,1
268,3
269,4
270,5
271,3
272,2
273,2
274,3
275,1
276,3
277,3
278,3
279,3
280,5
281,1
282,2
283,5
284,3
285,2
286,3
287,2
288,4
289,1
290,3
291,3
292,1
293,3
294,1
295,5
296,3
297,4
298,2
299,2
300,1
301,5
302,1
303,5
304,5
305,2
306,1
307,5
308,1
309,5
310,3
311,4
312,4
313,1
314,4
315,2
316,3
317,5
318,3
319,5
320,2
321,3
322,3
323,5
324,2
325,5
326,2
327,5
328,4
329,1
330,2
331,3
332,2
333,5
334,5
335,5
336,1
337,5
338,4
339,4
340,5
341,1
342,3
343,5
344,4
345,2
346,3
347,2
348,1
349,4
350,5
351,2
352,5
353,4
354,4
355,5
356,5
357,3
358,5
359,2
360,5
361,2
362,3
363,1
364,2
365,5
366,3
367,3
368,1
369,3
370,2
371,1
372,4
373,2
374,4
375,4
376,2
377,3
378,4
379,3
380,2
381,1
382,4
383,4
384,3
385,4
386,1
387,3
388,2
389,3
390,1
391,4
392,2
393,3
394,1
395,5
396,3
397,2
398,3
399,5
400,2
401,5
402,4
403,5
404,3
405,1
406,1
407,2
408,3
409,3
410,4
411,4
412,5
413,4
414,1
415,1
416,3
417,5
418,1
419,4
420,1
421,1
422,4
423,5
424,5
425,1
426,4
427,5
428,5
429,1
430,3
431,5
432,4
433,3
434,5
435,5
436,5
437,3
438,5
439,2
440,1
441,2
442,4
443,2
444,1
445,3
446,2
447,4
448,1
449,2
450,3
451,2
452,5
453,5
454,1
455,3
456,3
457,2
458,2
459,5
460,5
461,4
462,2
463,5
464,2
465,4
466,4
467,5
468,5
469,1
470,4
471,2
472,4
473,2
474,3
475,3
476,2
477,4
478,3
479,3
480,5
481,4
482,5
483,2
484,4
485,5
486,2
487,2
488,3
489,2
490,4
491,5
492,2
493,1
494,4
495,1
496,1
497,4
498,5
499,1
500,4
501,2
502,3
503,5
504,2
505,4
506,5
507,4
508,4
509,1
510,4
511,5
512,3
513,1
514,1
515,4
516,2
517,2
518,2
519,3
520,5
521,4
522,3
523,1
524,1
525,5
526,2
527,5
528,4
529,3
530,3
531,5
532,1
533,3
534,4
535,4
536,2
537,5
538,3
539,4
540,2
541,4
542,3
543,4
544,2
545,5
546,3
547,2
548,4
549,5
550,1
551,1
552,1
553,2
554,4
555,4
556,3
557,2
558,3
559,4
560,2
561,4
562,5
563,4
564,4
565,1
566,4
567,5
568,2
569,4
570,3
571,4
572,3
573,2
574,1
575,5
576,1
577,2
578,5
579,2
580,4
581,3
582,4
583,3
584,4
585,1
586,3
587,3
588,3
589,3
590,2
591,3
592,1
593,2
594,2
595,4
596,3
597,3
598,4
599,2
600,4
601,2
602,5
603,1
604,5
605,2
606,2
607,5
