row_index,fold
0,1
1,4
2,4
3,4
4,1
5,5
6,1
7,1
8,1
9,2
10,5
11,4
12,5
13,5
14,1
15,3
16,4
17,5
18,2
19,4
20,3
21,3
22,2
23,1
24,1
25,3
26,1
27,5
28,5
29,4
30,3
31,4
32,5
33,2
34,3
35,3
36,1
37,2
38,2
39,1
40,2
41,4
42,5
43,5
44,1
45,4
46,2
47,4
48,4
49,1
50,5
51,2
52,2
53,2
54,4
55,1
56,5
57,3
58,2
59,2
60,1
61,2
62,1
63,5
64,5
65,1
66,1
67,1
68,1
69,4
70,1
71,3
72,1
73,2
74,5
75,3
76,5
77,2
78,1
79,1
80,2
81,4
82,3
83,5
84,1
85,3
86,2
87,1
88,1
89,2
90,4
91,5
92,5
93,5
94,5
95,3
96,1
97,1
98,2
99,2
100,5
101,4
102,1
103,2
104,4
105,3
106,5
107,2
108,5
109,2
110,5
111,3
112,5
113,3
114,4
115,5
116,5
117,3
118,1
119,1
120,2
121,2
122,1
123,1
124,1
125,4
126,3
127,1
128,1
129,3
130,3
131,5
132,5
133,4
134,4
135,4
136,5
137,4
138,1
139,3
140,1
141,4
142,3
143,4
144,2
145,2
146,1
147,3
148,1
149,5
150,2
151,4
152,2
153,2
154,3
155,4
156,2
157,5
158,5
159,2
160,3
161,3
162,4
163,2
164,5
165,5
166,1
167,2
168,5
169,5
170,3
171,3
172,1
173,2
174,5
175,3
176,1
177,4
178,4
179,2
180,1
181,3
182,2
183,2
184,3
185,5
186,5
187,2
188,3
189,4
190,5
191,3
192,2
193,3
194,3
195,3
196,2
197,1
198,5
199,2
200,1
201,2
202,2
203,2
204,4
205,4
206,2
207,3
208,1
209,3
210,1
211,1
212,4
213,2
214,2
215,3
216,3
217,1
218,5
219,5
220,5
221,5
222,5
223,3
224,3
225,2
226,2
227,5
228,3
229,2
230,4
231,1
232,5
233,4
234,5
235,3
236,3
237,4
238,4
239,2
240,3
241,5
242,4
243,1
244,3
245,4
246,4
247,2
248,1
249,1
250,4
251,3
252,3
253,2
254,3
255,4
256,4
257,2
258,5
259,4
260,5
261,4
262,5
263,3
264,5
265,4
266,2
267,2
268,3
269,3
270,5
271,1
272,3
273,2
274,4
275,3
276,1
277,2
278,5
279,3
280,4
281,5
282,4
283,5
284,4
285,2
286,1
287,5
288,1
289,2
290,5
291,2
292,5
293,2
294,4
295,4
296,3
297,2
298,4
299,3
300,3
301,4
302,1
303,4
304,1
305,5
306,1
307,2
308,3
309,1
310,3
311,1
312,2
313,1
314,1
315,2
316,1
317,4
318,3
319,2
320,4
321,4
322,3
323,2
324,1
325,3
326,3
327,4
328,5
329,3
330,1
331,4
332,2
333,3
334,4
335,5
336,1
337,4
338,5
339,2
340,5
341,2
342,3
343,5
344,5
345,5
346,3
347,3
348,2
349,3
350,1
351,2
352,1
353,1
354,4
355,3
356,5
357,1
358,4
359,3
360,4
361,4
362,3
363,5
364,2
365,2
366,1
367,2
368,2
369,1
370,1
371,4
372,1
373,2
374,1
375,5
376,5
377,3
378,4
379,5
380,3
381,3
382,3
383,4
384,5
385,4
386,5
387,5
388,4
389,4
390,3
391,3
392,2
393,4
394,1
395,3
396,5
397,3
398,4
399,4
400,2
401,1
402,1
403,1
404,1
405,3
406,1
407,4
408,2
409,5
410,1
411,5
412,4
413,3
414,1
415,4
416,2
417,4
418,4
419,3
420,5
421,5
422,1
423,2
424,4
425,5
426,4
427,4
428,1
429,5
430,1
431,3
432,3
433,5
434,3
435,3
436,1
437,1
438,5
439,3
440,4
441,1
442,4
443,2
444,4
445,2
446,3
447,4
448,4
449,5
450,4
451,4
452,2
453,2
454,3
455,2
456,5
457,2
458,4
459,5
460,2
461,5
462,3
463,2
464,5
465,1
466,3
467,1
468,2
469,4
470,5
471,2
