row_index,fold
0,5
1,3
2,1
3,1
4,4
5,2
6,1
7,2
8,5
9,4
10,2
11,2
12,2
13,3
14,5
15,1
16,3
17,4
18,1
19,2
20,4
21,1
22,1
23,4
24,4
25,3
26,3
27,1
28,2
29,3
30,2
31,5
32,3
33,4
34,2
35,4
36,5
37,2
38,1
39,5
40,5
41,1
42,4
43,3
44,5
45,4
46,5
47,4
48,2
49,1
50,2
51,1
52,4
53,1
54,2
55,4
56,1
57,4
58,2
59,5
60,1
61,3
62,3
63,1
64,1
65,5
66,4
67,1
68,2
69,1
70,4
71,4
72,2
73,1
74,2
75,5
76,1
77,5
78,5
79,3
80,1
81,3
82,5
83,2
84,2
85,5
86,5
87,4
88,1
89,1
90,4
91,4
92,2
93,2
94,5
95,1
96,1
97,2
98,1
99,1
100,1
101,2
102,3
103,4
104,1
105,1
106,5
107,2
108,3
109,5
110,3
111,5
112,4
113,1
114,1
115,3
116,4
117,5
118,4
119,1
120,5
121,2
122,5
123,1
124,1
125,2
126,4
127,1
128,3
129,3
130,1
131,2
132,5
133,4
134,1
135,4
136,3
137,3
138,1
139,1
140,3
141,5
142,2
143,2
144,3
145,3
146,5
147,2
148,3
149,2
150,2
151,5
152,4
153,3
154,2
155,5
156,4
157,5
158,1
159,2
160,3
161,2
162,3
163,3
164,5
165,4
166,1
167,3
168,3
169,1
170,5
171,2
172,2
173,3
174,4
175,5
176,3
177,5
178,4
179,4
180,3
181,4
182,3
183,3
184,1
185,2
186,5
187,3
188,3
189,3
190,1
191,2
192,5
193,5
194,1
195,4
196,4
197,4
198,2
199,2
200,3
201,1
202,3
203,2
204,1
205,5
206,5
207,2
208,5
209,5
210,5
211,1
212,3
213,5
214,2
215,4
216,2
217,3
218,3
219,2
220,1
221,2
222,4
223,1
224,5
225,2
226,2
227,2
228,4
229,5
230,4
231,2
232,1
233,4
234,1
235,1
236,1
237,2
238,2
239,5
240,3
241,3
242,1
243,1
244,3
245,4
246,5
247,4
248,2
249,5
250,4
251,5
252,2
253,2
254,5
255,5
256,3
257,4
258,1
259,4
260,5
261,3
262,3
263,5
264,4
265,4
266,4
267,3
268,3
269,5
270,3
271,4
272,2
273,1
274,1
275,4
276,3
277,5
278,4
279,2
280,3
281,5
282,5
283,4
284,4
285,2
286,5
287,4
288,5
289,4
290,3
291,4
292,2
293,2
294,5
295,3
296,3
297,3
298,2
299,2
300,3
301,5
302,4
303,2
304,5
305,2
306,4
307,2
308,4
309,5
310,1
311,5
312,1
313,5
314,4
315,1
316,3
317,3
318,2
319,1
320,1
321,3
322,1
323,5
324,2
325,2
326,5
327,4
328,3
329,3
330,2
331,2
332,1
333,3
334,5
335,4
336,5
337,3
338,1
339,4
340,3
341,4
342,3
343,5
344,5
345,1
346,3
347,5
348,2
349,3
350,5
351,4
352,3
353,2
354,2
355,4
356,3
357,1
358,1
359,5
360,3
361,1
362,4
363,3
364,2
365,5
366,1
367,5
368,3
369,4
370,4
371,2
372,1
373,5
374,2
375,1
376,2
377,2
378,1
379,4
380,1
381,4
382,1
383,2
384,1
385,5
386,5
387,3
388,3
389,4
390,5
391,4
392,3
393,3
394,3
395,4
396,5
397,3
398,5
399,5
400,4
401,5
402,4
403,3
404,2
405,1
406,3
407,3
408,4
409,4
410,2
411,1
412,1
413,5
414,1
415,1
416,3
417,1
418,3
419,4
420,5
421,1
422,2
423,4
424,1
425,5
426,4
427,3
428,1
429,4
430,2
431,4
432,2
433,4
434,5
435,2
436,4
437,5
438,4
439,3
440,1
441,5
442,1
443,3
444,3
445,5
446,3
447,2
448,1
449,4
450,1
451,2
452,4
453,3
454,3
455,1
456,4
457,2
458,4
459,3
460,5
461,1
462,4
463,4
464,3
465,4
466,2
467,2
468,2
469,5
470,2
471,5
472,2
473,4
474,3
475,2
476,5
477,1
478,3
479,1
480,2
481,4
482,5
483,2
